repeat,shift_index,shift,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy_complete_case,accuracy_any_missing,accuracy_electrical_missing,biomarker_missing_fraction,all_biomarkers_missing_rate
13,0,No shift,Target-calibrated associative latent model,0.822,0.41415188396767333,0.18543046357615894,0.12443711940660417,0.04023608433616075,0.3592098310488625,0.541,151,0.8287752675386445,0.7861635220125787,0.7,0.05733333333333333,0.001
13,0,No shift,Frozen causal latent SCM,0.819,0.40645054128840563,0.15894039735099338,0.12370739241990936,0.04119996754845156,0.3603370256743933,0.518,151,0.8252080856123662,0.7861635220125787,0.74,0.05733333333333333,0.001
13,0,No shift,Modular causal latent SCM,0.823,0.41673301500094223,0.17880794701986755,0.12428019535405563,0.03542681433339827,0.3607453008964509,0.522,151,0.8287752675386445,0.7924528301886793,0.74,0.05733333333333333,0.001
13,0,No shift,Target oracle (reference),0.824,0.4193230819388469,0.1456953642384106,0.12195878942664522,0.02831546578098578,0.39300097587278127,0.507,151,0.83115338882283,0.7861635220125787,0.7,0.05733333333333333,0.001
13,1,Mild shift,Pooled associative latent class model,0.799,0.35696216583997536,0.3088235294117647,0.13956334446204452,0.03382236181661535,0.3962346740361361,0.534,204,0.8032345013477089,0.7868217054263565,0.7912087912087912,0.09566666666666666,0.001
13,1,Mild shift,Target-calibrated associative latent model,0.823,0.416737068052799,0.22549019607843138,0.12882112288650227,0.0558846370916002,0.36791595888856304,0.562,204,0.8288409703504043,0.8062015503875969,0.8021978021978022,0.09566666666666666,0.001
13,1,Mild shift,Frozen causal latent SCM,0.815,0.3962977870497052,0.21568627450980393,0.1264157294118418,0.046943590506011046,0.3708730307806077,0.538,204,0.8207547169811321,0.7984496124031008,0.7912087912087912,0.09566666666666666,0.001
13,1,Mild shift,Modular causal latent SCM,0.815,0.3962981865803561,0.22058823529411764,0.1268824914488165,0.04889599856023457,0.3705617924451212,0.542,204,0.8207547169811321,0.7984496124031008,0.7912087912087912,0.09566666666666666,0.001
13,1,Mild shift,Target oracle (reference),0.818,0.4038996915540914,0.1568627450980392,0.1240238854261309,0.03443982649381715,0.40262254547409965,0.509,204,0.8234501347708895,0.8023255813953488,0.7912087912087912,0.09566666666666666,0.001
13,2,Moderate shift,Pooled associative latent class model,0.774,0.2996054446597292,0.3441295546558704,0.1548450077397116,0.057351378591718544,0.4048378681452133,0.539,247,0.7993197278911565,0.7378640776699029,0.72,0.16433333333333333,0.004
13,2,Moderate shift,Target-calibrated associative latent model,0.811,0.3862736541399459,0.23076923076923078,0.1407526452697286,0.0661776154512607,0.3830177764157052,0.554,247,0.8299319727891157,0.7839805825242718,0.7714285714285715,0.16433333333333333,0.004
13,2,Moderate shift,Frozen causal latent SCM,0.802,0.36418327163778885,0.2631578947368421,0.13998926319235216,0.054209395582516716,0.3850784517751464,0.551,247,0.8248299319727891,0.7694174757281553,0.7542857142857143,0.16433333333333333,0.004
13,2,Moderate shift,Modular causal latent SCM,0.811,0.3862710952981997,0.20242914979757085,0.1362018462244951,0.03599232907006074,0.38681649796893336,0.53,247,0.8299319727891157,0.7839805825242718,0.7771428571428571,0.16433333333333333,0.004
13,2,Moderate shift,Target oracle (reference),0.808,0.37883480271851017,0.1902834008097166,0.1338502848111475,0.030833191335552575,0.4196240920529944,0.515,247,0.8248299319727891,0.7839805825242718,0.7657142857142857,0.16433333333333333,0.004
13,3,Strong shift,Pooled associative latent class model,0.744,0.237384773918428,0.42996742671009774,0.17325429791559566,0.08034088380470891,0.42146575729372987,0.549,307,0.8015075376884422,0.7059800664451827,0.6721311475409836,0.2653333333333333,0.022
13,3,Strong shift,Target-calibrated associative latent model,0.791,0.33806174172140885,0.22149837133550487,0.14766751360404173,0.04338619819056174,0.41271721983615905,0.496,307,0.821608040201005,0.770764119601329,0.7672131147540984,0.2653333333333333,0.022
13,3,Strong shift,Frozen causal latent SCM,0.778,0.30845301284438803,0.3485342019543974,0.15734179989191852,0.07561617415230927,0.40837568319043954,0.579,307,0.8115577889447236,0.7558139534883721,0.7278688524590164,0.2653333333333333,0.022
