repeat,shift_index,shift,causal_renal_path_estimate,true_renal_path,causal_inflammation_path_estimate,true_inflammation_path,adjusted_irrelevant_slope_rms,target_missing_fraction,target_all_missing_rate
10,0,No shift,1.0268005594155738,1.0,0.6130005509002967,0.8,0.1312480957761301,0.059333333333333335,0.0
10,1,Mild shift,1.1993575795180282,1.25,0.6353151278714407,0.8,0.12270139118092677,0.09366666666666666,0.002
10,2,Moderate shift,1.5016930777669841,1.5,0.9841515700035455,0.8,0.1662597464051718,0.16833333333333333,0.005
10,3,Strong shift,1.7817855524641688,1.8,0.6073434215304224,0.8,0.2199074683439884,0.2786666666666667,0.022
11,0,No shift,1.016343438647049,1.0,0.6081479585850714,0.8,0.196569722332959,0.050333333333333334,0.0
11,1,Mild shift,1.3160811421580163,1.25,0.7900736782270112,0.8,0.2589085583764779,0.089,0.002
11,2,Moderate shift,1.7065931153083511,1.5,1.0126345163119368,0.8,0.20609177557391398,0.16,0.009
11,3,Strong shift,1.7828054650512304,1.8,0.7375247985275656,0.8,0.13126613073701512,0.266,0.02
12,0,No shift,1.1319660587696523,1.0,0.924572596762917,0.8,0.3244133467897087,0.052333333333333336,0.001
12,1,Mild shift,1.2743260559997502,1.25,0.9428497048971266,0.8,0.20126299673719872,0.09133333333333334,0.002
12,2,Moderate shift,1.6051748927625398,1.5,0.7766454242423994,0.8,0.13940789230817544,0.16966666666666666,0.002
12,3,Strong shift,1.663209608768912,1.8,0.9531819860191947,0.8,0.2168818530358109,0.272,0.016
13,0,No shift,0.8813567528894942,1.0,0.7080672135084926,0.8,0.07106504816844285,0.05733333333333333,0.001
13,1,Mild shift,1.0322348094740033,1.25,0.8395792805313432,0.8,0.13076005386615036,0.09566666666666666,0.001
13,2,Moderate shift,1.4557296770957682,1.5,0.8819085138471102,0.8,0.2693366525706516,0.16433333333333333,0.004
13,3,Strong shift,1.9441658632727803,1.8,0.7458702956629062,0.8,0.23155169856240176,0.2653333333333333,0.022
14,0,No shift,0.9730138085282933,1.0,0.20740251326225734,0.8,0.1994452087422792,0.062,0.001
14,1,Mild shift,0.9869676625412478,1.25,0.541854806905088,0.8,0.07208020475873843,0.10266666666666667,0.001
14,2,Moderate shift,1.3891015343616866,1.5,0.599025030299869,0.8,0.19320530032365404,0.16333333333333333,0.005
14,3,Strong shift,2.065862484894139,1.8,0.8716355056404325,0.8,0.16787545219831723,0.25433333333333336,0.016
15,0,No shift,1.3035972053151745,1.0,0.7530047162723426,0.8,0.3432606700808695,0.052333333333333336,0.0
15,1,Mild shift,1.599429895524477,1.25,0.8748969587113652,0.8,0.3318460039192328,0.09066666666666667,0.0
15,2,Moderate shift,1.625959509555068,1.5,0.8491869384199018,0.8,0.22537091198262274,0.15533333333333332,0.007
15,3,Strong shift,1.4209344680992595,1.8,0.7517763389289482,0.8,0.2818219114928676,0.25266666666666665,0.012
16,0,No shift,0.9323139108895064,1.0,0.9724224938770984,0.8,0.2513698726352601,0.058333333333333334,0.0
16,1,Mild shift,1.0439220373486897,1.25,0.9025948459512679,0.8,0.19822058585282654,0.096,0.002
16,2,Moderate shift,1.253382374853571,1.5,0.7600866205922185,0.8,0.20312400171155712,0.172,0.011
16,3,Strong shift,1.96189917816559,1.8,0.8413741154362391,0.8,0.20455067012419165,0.2796666666666667,0.023
17,0,No shift,0.9710069965041308,1.0,0.9276368325539365,0.8,0.19155571763094734,0.050666666666666665,0.0
17,1,Mild shift,1.219655749662,1.25,0.9343369672082615,0.8,0.15664804014614997,0.09,0.0
17,2,Moderate shift,1.5078522756041979,1.5,0.8816533425029297,0.8,0.22526994758512534,0.16466666666666666,0.003
17,3,Strong shift,1.5948595056012755,1.8,0.5724347272400825,0.8,0.15882014582770537,0.25966666666666666,0.016
18,0,No shift,1.2542364467814782,1.0,0.36952068249490144,0.8,0.082790696687075,0.04933333333333333,0.0
18,1,Mild shift,1.4838586595253656,1.25,0.45684967401788096,0.8,0.13493907285118856,0.09,0.001
18,2,Moderate shift,1.6409376696302533,1.5,0.4570825341249235,0.8,0.14489069750095324,0.163,0.006
18,3,Strong shift,1.6795366509848222,1.8,1.1041149991891455,0.8,0.1554017457755009,0.26066666666666666,0.021
19,0,No shift,1.2647643201558059,1.0,0.5285834020813828,0.8,0.27590590897247486,0.055,0.0
19,1,Mild shift,1.5362291538847073,1.25,0.5595487223026879,0.8,0.24781090821340465,0.09633333333333334,0.001
19,2,Moderate shift,1.627530572209361,1.5,0.5344147597806479,0.8,0.2451096498607207,0.16366666666666665,0.006
19,3,Strong shift,1.7284048151317275,1.8,1.0486839310570943,0.8,0.27766590535122837,0.26666666666666666,0.025
20,0,No shift,0.9304547661607915,1.0,0.6062330746525391,0.8,0.1556734545383109,0.063,0.0
20,1,Mild shift,1.2068966603682083,1.25,0.5663376183748038,0.8,0.09799593304860267,0.10566666666666667,0.0
20,2,Moderate shift,1.3963798598038142,1.5,0.8412841457054899,0.8,0.05221908666907139,0.17233333333333334,0.004
20,3,Strong shift,1.7273996125643005,1.8,0.6391155597269156,0.8,0.09245797358948489,0.273,0.024
21,0,No shift,0.9214161118252381,1.0,0.8307515854808344,0.8,0.2131772408511132,0.051666666666666666,0.0
21,1,Mild shift,1.065331677789312,1.25,0.9104495697678595,0.8,0.2779635593398569,0.09366666666666666,0.0
21,2,Moderate shift,1.3716069882100383,1.5,0.9053801593419635,0.8,0.17726436515088526,0.16866666666666666,0.005
21,3,Strong shift,2.069399601259218,1.8,0.6255198982817436,0.8,0.21319830329017012,0.2876666666666667,0.023
22,0,No shift,1.0152778733760552,1.0,0.48487398525789527,0.8,0.23045770346406455,0.053,0.001
22,1,Mild shift,1.4191854910063846,1.25,0.48020022997158957,0.8,0.2204369753641694,0.09333333333333334,0.001
22,2,Moderate shift,1.6796659219861783,1.5,0.4671982977221355,0.8,0.25391561178152566,0.16533333333333333,0.004
22,3,Strong shift,1.4778474566088275,1.8,1.1939275823357265,0.8,0.2906356825632154,0.27466666666666667,0.02
23,0,No shift,0.820312964619121,1.0,0.5123581786403829,0.8,0.19750868032635008,0.059666666666666666,0.001
23,1,Mild shift,1.3172371718520905,1.25,0.736339755115624,0.8,0.10887070127134792,0.09933333333333333,0.001
23,2,Moderate shift,1.7060100038107717,1.5,0.9362175564555251,0.8,0.21806860596922678,0.16933333333333334,0.003
