shift_index,shift,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
1,Mild shift,Target oracle (reference),expected_calibration_error,0.0285752214735515,0.0279789977575044,0.0291714451895987,0.0003034635297777,500
1,Mild shift,Target oracle (reference),mean_posterior_entropy,0.406012764984722,0.4054133879282132,0.4066121420412308,0.0003050685042215,500
1,Mild shift,Target oracle (reference),predicted_atrial_prevalence,0.501188,0.499725230380713,0.5026507696192869,0.0007445145504499,500
1,Mild shift,Target oracle (reference),accuracy_complete_case,0.8279204025616567,0.8267274221485331,0.8291133829747802,0.0006071983340788,500
1,Mild shift,Target oracle (reference),accuracy_any_missing,0.7705754150287938,0.7682780885315815,0.772872741526006,0.0011692839267077,500
1,Mild shift,Target oracle (reference),accuracy_electrical_missing,0.7736296066481932,0.7699588661613297,0.7773003471350568,0.0018683186110522,500
1,Mild shift,Target oracle (reference),biomarker_missing_fraction,0.0949606666666666,0.0944766761640844,0.0954446571692489,0.0002463395238053,500
1,Mild shift,Target oracle (reference),all_biomarkers_missing_rate,0.000924,0.0008448310252383,0.0010031689747616,4.029510380656145e-05,500
2,Moderate shift,Pooled associative latent class model,accuracy,0.76659,0.7652907114364615,0.7678892885635384,0.0006613066254815,500
2,Moderate shift,Pooled associative latent class model,adjusted_rand_index,0.284437374972021,0.2816602092152146,0.2872145407288273,0.001413510567687,500
2,Moderate shift,Pooled associative latent class model,false_atrial_renal_competing,0.3964838476465263,0.3912510115047573,0.4017166837882954,0.0026633877244227,500
2,Moderate shift,Pooled associative latent class model,brier_score,0.1585456647517932,0.1578472171348657,0.1592441123687207,0.0003554930364106,500
2,Moderate shift,Pooled associative latent class model,expected_calibration_error,0.0518402998583428,0.050265202315886,0.0534153974007996,0.0008016867613839,500
2,Moderate shift,Pooled associative latent class model,mean_posterior_entropy,0.4349854758812683,0.4336262888046773,0.4363446629578593,0.0006917935278138,500
2,Moderate shift,Pooled associative latent class model,predicted_atrial_prevalence,0.5415880000000001,0.5380001987195318,0.5451758012804684,0.0018261045500341,500
2,Moderate shift,Pooled associative latent class model,accuracy_complete_case,0.7922665314168205,0.7906604202499619,0.7938726425836791,0.0008174719501962,500
2,Moderate shift,Pooled associative latent class model,accuracy_any_missing,0.7310677050432693,0.7291106724227656,0.7330247376637731,0.0009960825289634,500
2,Moderate shift,Pooled associative latent class model,accuracy_electrical_missing,0.7165975392640512,0.7134821225401434,0.719712955987959,0.001585672173582,500
2,Moderate shift,Pooled associative latent class model,biomarker_missing_fraction,0.1655313333333333,0.1649474151440916,0.166115251522575,0.0002972003126334,500
2,Moderate shift,Pooled associative latent class model,all_biomarkers_missing_rate,0.004546,0.0043671303554815,0.0047248696445184,9.10403464919744e-05,500
2,Moderate shift,Target-calibrated associative latent model,accuracy,0.7918319999999999,0.7905357697400959,0.7931282302599039,0.0006597500224966,500
2,Moderate shift,Target-calibrated associative latent model,adjusted_rand_index,0.3408730242875356,0.3378571741778369,0.3438888743972342,0.0015349951619457,500
2,Moderate shift,Target-calibrated associative latent model,false_atrial_renal_competing,0.2041067777996555,0.1973717800128325,0.2108417755864785,0.0034279518684439,500
2,Moderate shift,Target-calibrated associative latent model,brier_score,0.1429906020598781,0.1422617508830496,0.1437194532367067,0.0003709677170667,500
2,Moderate shift,Target-calibrated associative latent model,expected_calibration_error,0.0469790380888522,0.0450627964707687,0.0488952797069356,0.0009753208899267,500
2,Moderate shift,Target-calibrated associative latent model,mean_posterior_entropy,0.4184336884320561,0.4171521425726531,0.419715234291459,0.0006522760158632,500
2,Moderate shift,Target-calibrated associative latent model,predicted_atrial_prevalence,0.49875,0.493802275219654,0.503697724780346,0.0025182728995868,500
