shift_index,shift,metric,contrast,mean_difference,ci95_low,ci95_high,repeat_count
3,Strong shift,adjusted_rand_index,modular causal minus comparator: Target-calibrated associative latent model,0.0100392070374289,0.0082605901304834,0.0118178239443744,500
3,Strong shift,false_atrial_renal_competing,modular causal minus comparator: Target-calibrated associative latent model,-0.0084693133221861,-0.0132666076834098,-0.0036720189609624,500
3,Strong shift,brier_score,modular causal minus comparator: Target-calibrated associative latent model,-0.0030827198775916,-0.0034977979088183,-0.0026676418463649,500
3,Strong shift,expected_calibration_error,modular causal minus comparator: Target-calibrated associative latent model,-0.0077219470279424,-0.0094554067886489,-0.0059884872672359,500
3,Strong shift,accuracy_any_missing,modular causal minus comparator: Target-calibrated associative latent model,0.0034536336411177,0.002632918384055,0.0042743488981804,500
3,Strong shift,accuracy,modular causal minus comparator: Frozen causal latent SCM,0.01421,0.0132637022905083,0.0151562977094916,500
3,Strong shift,adjusted_rand_index,modular causal minus comparator: Frozen causal latent SCM,0.0304270982291929,0.0284055435386927,0.0324486529196931,500
3,Strong shift,false_atrial_renal_competing,modular causal minus comparator: Frozen causal latent SCM,-0.140834655201176,-0.1451935233162842,-0.1364757870860678,500
3,Strong shift,brier_score,modular causal minus comparator: Frozen causal latent SCM,-0.0093021554436746,-0.0098073288599469,-0.0087969820274024,500
3,Strong shift,expected_calibration_error,modular causal minus comparator: Frozen causal latent SCM,-0.0246096041749347,-0.0269007628131852,-0.0223184455366842,500
3,Strong shift,accuracy_any_missing,modular causal minus comparator: Frozen causal latent SCM,0.0124547468795853,0.0113657821487898,0.0135437116103809,500
