file,level,method,metric,value_v1,value_v2,absolute_difference,reported_v1,reported_v2,changes_at_reported_precision
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,expected_calibration_error,-0.000854526246111,-0.000854526246111,0.0,-0.0009,-0.0009,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,false_atrial_renal_competing,-0.0058835152163742,-0.0058835152163742,0.0,-0.59,-0.59,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,accuracy,0.240828,0.240828,0.0,24.08,24.08,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,adjusted_rand_index,0.3705512269752534,0.3705512269752534,0.0,0.371,0.371,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,brier_score,-0.2213575837569467,-0.2213575837569467,0.0,-0.2214,-0.2214,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,expected_calibration_error,-0.2980908561118203,-0.2980908561118203,0.0,-0.2981,-0.2981,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,false_atrial_renal_competing,-0.5747903674948778,-0.5747903674948778,0.0,-57.48,-57.48,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,accuracy,0.0029639999999999,0.0029639999999999,0.0,0.3,0.3,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,adjusted_rand_index,0.0074238748201762,0.0074238748201762,0.0,0.007,0.007,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,brier_score,-0.0022281443125219,-0.0022281443125219,0.0,-0.0022,-0.0022,False
