repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,2.25,Renal-adjusted associative latent class model,True,24,3,-3686.9435026888086,0.49687159789149554,2.3985318589621665
0,2.25,Biologically constrained latent SCM,True,15,0,-3690.4777577175805,0.49640341350309114,2.240380841883982
1,2.25,Associative latent class model,True,91,2,-4293.234077842091,0.31617041021554554,0.045992029718626204
1,2.25,Renal-adjusted associative latent class model,True,36,1,-3744.7377647754047,0.4413659728739847,1.9892405635267005
1,2.25,Biologically constrained latent SCM,True,60,2,-3745.6014110614406,0.4515058928304023,2.003281603701427
2,2.25,Associative latent class model,True,37,1,-4183.061414132224,0.35224037310104933,0.15365818074754584
2,2.25,Renal-adjusted associative latent class model,True,65,1,-3623.408975313063,0.4241793077406926,1.7438582629611221
2,2.25,Biologically constrained latent SCM,True,49,3,-3623.8675572095267,0.43668065476544,1.7571280546916321
3,2.25,Associative latent class model,True,43,0,-4202.421218059681,0.30786946812006327,0.06836884338106203
3,2.25,Renal-adjusted associative latent class model,True,36,1,-3641.005040239796,0.4912782819721565,2.049153797189362
3,2.25,Biologically constrained latent SCM,True,18,3,-3642.151221798602,0.474523943584621,2.061176890484901
4,2.25,Associative latent class model,True,38,0,-4207.398420305623,0.2891398694891659,0.012499493867054845
4,2.25,Renal-adjusted associative latent class model,True,16,0,-3661.5525024464523,0.48882058673697804,2.153232797040534
4,2.25,Biologically constrained latent SCM,True,15,0,-3662.0153919431964,0.4898039271470615,2.154757672223224
5,2.25,Associative latent class model,True,37,3,-4136.165819219223,0.3148083823960658,0.15484952464672225
5,2.25,Renal-adjusted associative latent class model,True,14,3,-3557.910599499798,0.4850096165879604,2.351873441870449
5,2.25,Biologically constrained latent SCM,True,16,3,-3558.3300518285937,0.48924248080587524,2.3276027469791325
6,2.25,Associative latent class model,True,30,3,-4193.29166527402,0.31066406597324836,0.2440180129575391
6,2.25,Renal-adjusted associative latent class model,True,38,1,-3638.80284409557,0.472553404705603,2.1895240839236165
6,2.25,Biologically constrained latent SCM,True,26,1,-3639.9340770199397,0.4779543461896556,2.1444017817181322
7,2.25,Associative latent class model,True,46,1,-4186.824318269351,0.3075345708620762,0.06484277839382713
7,2.25,Renal-adjusted associative latent class model,True,49,1,-3643.900627584088,0.4498754887286384,2.0308972374528267
7,2.25,Biologically constrained latent SCM,True,33,1,-3644.1142074411555,0.45764604103902407,2.0197814482593603
8,2.25,Associative latent class model,True,45,3,-4209.761609552128,0.28036149564279694,0.028296793529601183
8,2.25,Renal-adjusted associative latent class model,True,25,0,-3659.6431331812705,0.4854776057627567,1.926605679448945
8,2.25,Biologically constrained latent SCM,True,18,1,-3660.2032666997084,0.48844011408310123,1.9188301042317821
9,2.25,Associative latent class model,True,43,0,-4190.72578319312,0.31691710981616145,0.04574271080184544
9,2.25,Renal-adjusted associative latent class model,True,14,0,-3626.379192610407,0.49826120265752066,2.117017498043886
9,2.25,Biologically constrained latent SCM,True,14,0,-3626.7118767103475,0.49789618257481494,2.118631197932773
