heart_failure_effect_sd,comparator,metric,difference_definition,repeat_count,mean_difference,ci95_low,ci95_high
0.32,Renal-adjusted associative latent class model,accuracy__heart_failure_only,causal SCM minus comparator,500,0.00242683629591276,-0.00038104020514142037,0.00523471279696694
0.32,Renal-adjusted associative latent class model,accuracy__redundant,causal SCM minus comparator,500,0.021045785632458805,0.01274422750806232,0.02934734375685529
0.32,Renal-adjusted associative latent class model,accuracy__renal_only,causal SCM minus comparator,500,0.011160047592466962,0.0081065331495965,0.014213562035337425
0.32,Renal-adjusted associative latent class model,accuracy__uncomplicated,causal SCM minus comparator,500,0.0006216545936588067,-6.1325201274335835e-06,0.001249441707445047
0.32,Renal-adjusted associative latent class model,false_atrial__heart_failure_only,causal SCM minus comparator,500,-0.044538138150844335,-0.049976421850214205,-0.039099854451474465
0.32,Renal-adjusted associative latent class model,false_atrial__redundant,causal SCM minus comparator,499,-0.09264440249832086,-0.1075435159075552,-0.07774528908908651
0.32,Renal-adjusted associative latent class model,false_atrial__renal_only,causal SCM minus comparator,500,-0.02960293645874298,-0.03886763933612146,-0.020338233581364506
0.32,Renal-adjusted associative latent class model,false_atrial__uncomplicated,causal SCM minus comparator,500,0.006676544231440767,0.0046658187376162515,0.008687269725265283
0.32,Renal-adjusted associative latent class model,mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,0.0013276867007554394,0.0003976395813613834,0.0022577338201494952
0.32,Renal-adjusted associative latent class model,mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.006846769652841461,0.00346418790938333,0.010229351396299593
0.32,Renal-adjusted associative latent class model,mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.006196018983264448,0.004565279243453428,0.007826758723075469
0.32,Renal-adjusted associative latent class model,mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,0.0004991881580341591,5.321665737846533e-05,0.000945159658689853
0.32,Two-nuisance adjusted associative latent model,accuracy,causal SCM minus comparator,500,0.002788177339901476,0.002068373044449841,0.003507981635353111
0.32,Two-nuisance adjusted associative latent model,adjusted_rand_index,causal SCM minus comparator,500,0.00693856171828359,0.0051489373584601185,0.008728186078107061
0.32,Two-nuisance adjusted associative latent model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.03378881142332938,-0.04299949785332461,-0.02457812499333415
0.32,Two-nuisance adjusted associative latent model,brier_score,causal SCM minus comparator,500,-0.00210374007380004,-0.0025132030851747673,-0.0016942770624253129
0.32,Two-nuisance adjusted associative latent model,expected_calibration_error,causal SCM minus comparator,500,-0.001181588602307003,-0.0020352770274296083,-0.00032790017718439747
0.32,Two-nuisance adjusted associative latent model,accuracy__heart_failure_only,causal SCM minus comparator,500,0.0004940277050506654,-0.0014987872531272083,0.0024868426632285393
0.32,Two-nuisance adjusted associative latent model,accuracy__redundant,causal SCM minus comparator,500,0.019314202309558347,0.011815704182785304,0.02681270043633139
0.32,Two-nuisance adjusted associative latent model,accuracy__renal_only,causal SCM minus comparator,500,0.010355190906184124,0.00739413846614802,0.013316243346220228
0.32,Two-nuisance adjusted associative latent model,accuracy__uncomplicated,causal SCM minus comparator,500,0.0007584286425088309,0.00015933321761923004,0.0013575240673984316
0.32,Two-nuisance adjusted associative latent model,false_atrial__heart_failure_only,causal SCM minus comparator,500,0.002946851262572234,-0.0012087373099526765,0.0071024398350971445
0.32,Two-nuisance adjusted associative latent model,false_atrial__redundant,causal SCM minus comparator,499,-0.04322821101246372,-0.056888195679217594,-0.029568226345709846
0.32,Two-nuisance adjusted associative latent model,false_atrial__renal_only,causal SCM minus comparator,500,-0.03336835739371973,-0.042544947567651474,-0.02419176721978799
0.32,Two-nuisance adjusted associative latent model,false_atrial__uncomplicated,causal SCM minus comparator,500,0.002761811041459801,0.0007431038528933802,0.004780518230026222
0.32,Two-nuisance adjusted associative latent model,mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,0.0023686360342345426,0.001699266764786757,0.0030380053036823283
0.32,Two-nuisance adjusted associative latent model,mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.008884428614218906,0.006018622812278836,0.011750234416158977
0.32,Two-nuisance adjusted associative latent model,mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.007314161655659223,0.0057275494525523525,0.008900773858766092
0.32,Two-nuisance adjusted associative latent model,mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,0.0018679927842198847,0.0014745868540243436,0.002261398714415426
0.32,Two-path latent SCM (counterfactual query),accuracy,causal SCM minus comparator,500,-0.003521182266009852,-0.0040941223908250715,-0.0029482421411946326
0.32,Two-path latent SCM (counterfactual query),adjusted_rand_index,causal SCM minus comparator,500,-0.008951270795417764,-0.010398719363803752,-0.007503822227031776
0.32,Two-path latent SCM (counterfactual query),false_atrial_renal_competing,causal SCM minus comparator,500,-0.0032618785603019526,-0.006168264784652627,-0.0003554923359512783
