heart_failure_effect_sd,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0.0,Two-nuisance adjusted associative latent model,subgroup_size__renal_only,500,187.32,12.180407409003143,0.5447243792034622,186.24976400219145,188.39023599780853,164.0,210.0
0.0,Two-nuisance adjusted associative latent model,competing_subgroup_size__renal_only,500,94.308,9.03972174009115,0.4042686461705299,93.51372150901398,95.10227849098604,77.475,111.0
0.0,Two-nuisance adjusted associative latent model,accuracy__heart_failure_only,500,0.8222574915642983,0.0512564248450788,0.0022922570047441064,0.8177538268553802,0.8267611562732163,0.7096774193548387,0.9167130144605116
0.0,Two-nuisance adjusted associative latent model,false_atrial__heart_failure_only,500,0.17461466446961543,0.09815890951098526,0.004389799885276273,0.16598989561445887,0.183239433324772,0.029411764705882353,0.38812709030100323
0.0,Two-nuisance adjusted associative latent model,mean_posterior_entropy__heart_failure_only,500,0.3709481493336372,0.03644382318355631,0.001629817319968294,0.3677459993431547,0.37415029932411964,0.3010135242441158,0.4425921982240147
0.0,Two-nuisance adjusted associative latent model,subgroup_size__heart_failure_only,500,57.146,7.3192778096824975,0.32732805457311664,56.50288895068538,57.78911104931462,43.0,72.0
0.0,Two-nuisance adjusted associative latent model,competing_subgroup_size__heart_failure_only,500,28.636,5.351334184585207,0.2393189401410186,28.16580304448492,29.106196955515077,19.0,39.0
0.0,Two-nuisance adjusted associative latent model,accuracy__redundant,500,0.8048501126830578,0.10768202662703932,0.0048156866298600465,0.7953885916235854,0.8143116337425302,0.5625,1.0
0.0,Two-nuisance adjusted associative latent model,false_atrial__redundant,500,0.20737500277500276,0.19430425914894267,0.008689550635495424,0.19030238724696935,0.22444761830303617,0.0,0.6666666666666666
0.0,Two-nuisance adjusted associative latent model,mean_posterior_entropy__redundant,500,0.36382250885746825,0.0680312627452786,0.003042450561871838,0.35784491681793174,0.36980010089700477,0.2243939975259819,0.4883799852799404
0.0,Two-nuisance adjusted associative latent model,subgroup_size__redundant,500,13.86,3.771053126563816,0.1686466227551962,13.528655023582056,14.191344976417943,7.475000000000001,22.0
0.0,Two-nuisance adjusted associative latent model,competing_subgroup_size__redundant,500,6.862,2.6261663121359997,0.11744572788312052,6.631250926582093,7.092749073417907,2.0,12.0
0.0,Two-path biologically constrained latent SCM,accuracy,500,0.820384236453202,0.01311493628053,0.0005865177808768666,0.8192318877307764,0.8215365851756277,0.7950738916256158,0.8443349753694581
0.0,Two-path biologically constrained latent SCM,adjusted_rand_index,500,0.41069013736275267,0.03359961564993955,0.0015026204922226124,0.40773789471818256,0.4136423800073228,0.34763222459746723,0.47374934473403063
0.0,Two-path biologically constrained latent SCM,false_atrial_renal_competing,500,0.16260370596337498,0.06636576921772655,0.002967967426997992,0.156772453128058,0.16843495879869197,0.05253314393939394,0.31069339622641506
0.0,Two-path biologically constrained latent SCM,brier_score,500,0.12624112159031003,0.007556890000122124,0.00033795439477522923,0.12557713265808168,0.1269051105225384,0.11208954575990646,0.14178753823286283
0.0,Two-path biologically constrained latent SCM,expected_calibration_error,500,0.042991405344048716,0.017965399300748388,0.0008034370815880117,0.0414128688960434,0.044569941792054035,0.019267944365446335,0.08583450706640675
0.0,Two-path biologically constrained latent SCM,mean_posterior_entropy,500,0.3736331393443929,0.01923775666801382,0.0008603386328855751,0.3719428067461605,0.37532347194262533,0.3370134235131996,0.4140810132966269
0.0,Two-path biologically constrained latent SCM,predicted_atrial_prevalence,500,0.4975625615763547,0.04481781975611489,0.0020043138315601187,0.49362462728272544,0.501500495869984,0.410320197044335,0.5842364532019705
0.0,Two-path biologically constrained latent SCM,renal_competing_subgroup_size,500,101.17,9.425645101060313,0.4215276635551747,100.34181221029878,101.99818778970122,83.0,119.0
0.0,Two-path biologically constrained latent SCM,accuracy__uncomplicated,500,0.8210185127171284,0.014742993267209306,0.0006593267027460346,0.8197231141659803,0.8223139112682766,0.7933236210724044,0.8505056043513711
0.0,Two-path biologically constrained latent SCM,false_atrial__uncomplicated,500,0.18209926476178925,0.048430469859279006,0.0021658764557520504,0.177843903631925,0.1863546258916535,0.10017792504694772,0.2840690709214025
0.0,Two-path biologically constrained latent SCM,mean_posterior_entropy__uncomplicated,500,0.3740091075207723,0.019888496038026296,0.0008894405822252408,0.3722615974673372,0.3757566175742074,0.3347469447931287,0.41581739455877625
0.0,Two-path biologically constrained latent SCM,subgroup_size__uncomplicated,500,756.674,13.865649515004549,0.6200906973547432,755.4556895818291,757.8923104181708,729.475,783.525
0.0,Two-path biologically constrained latent SCM,competing_subgroup_size__uncomplicated,500,379.066,15.033351166476129,0.6723119027573276,377.7450890447418,380.38691095525814,351.0,409.525
0.0,Two-path biologically constrained latent SCM,accuracy__renal_only,500,0.8176506968025954,0.03025357801379587,0.0013529811400288126,0.8149924549913288,0.820308938613862,0.7604103343465045,0.8717276887871853
0.0,Two-path biologically constrained latent SCM,false_atrial__renal_only,500,0.16231524930486568,0.06729905442400295,0.003009705210270571,0.15640199302003838,0.168228505589693,0.05373048004626952,0.31360603932584263
0.0,Two-path biologically constrained latent SCM,mean_posterior_entropy__renal_only,500,0.3724568303823459,0.024561577639258286,0.0010984271447204066,0.370298718287255,0.37461494247743676,0.32644929817148705,0.41674090107113915
0.0,Two-path biologically constrained latent SCM,subgroup_size__renal_only,500,187.32,12.180407409003143,0.5447243792034622,186.24976400219145,188.39023599780853,164.0,210.0
0.0,Two-path biologically constrained latent SCM,competing_subgroup_size__renal_only,500,94.308,9.03972174009115,0.4042686461705299,93.51372150901398,95.10227849098604,77.475,111.0
0.0,Two-path biologically constrained latent SCM,accuracy__heart_failure_only,500,0.8218295674442371,0.050176779672069974,0.002243973804775561,0.8174207661573881,0.826238368731086,0.7142857142857143,0.9120356037151702
0.0,Two-path biologically constrained latent SCM,false_atrial__heart_failure_only,500,0.18081181744196403,0.09236759231302584,0.004130804306598256,0.17269590481237201,0.18892773007155605,0.03225806451612903,0.37726293103448266
0.0,Two-path biologically constrained latent SCM,mean_posterior_entropy__heart_failure_only,500,0.372983262117069,0.03620645885591809,0.0016192020645276423,0.36980196823094363,0.3761645560031944,0.30323655477041683,0.44290515662568125
0.0,Two-path biologically constrained latent SCM,subgroup_size__heart_failure_only,500,57.146,7.3192778096824975,0.32732805457311664,56.50288895068538,57.78911104931462,43.0,72.0
0.0,Two-path biologically constrained latent SCM,competing_subgroup_size__heart_failure_only,500,28.636,5.351334184585207,0.2393189401410186,28.16580304448492,29.106196955515077,19.0,39.0
0.0,Two-path biologically constrained latent SCM,accuracy__redundant,500,0.8144604375826755,0.10800351893791402,0.004830064203087232,0.8049706684825126,0.8239502066828384,0.5770833333333334,1.0
0.0,Two-path biologically constrained latent SCM,false_atrial__redundant,500,0.1706685286935287,0.16982145935179713,0.007594646542976715,0.15574710341637948,0.1855899539706779,0.0,0.5
0.0,Two-path biologically constrained latent SCM,mean_posterior_entropy__redundant,500,0.3711810440662788,0.06405274079177911,0.0028645256511118356,0.3655530263283013,0.3768090618042563,0.24098844799876917,0.5048003633993294
