repeat,renal_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
350,0.9,Data-generating oracle (reference),0.8354679802955665,0.4496128285115257,0.15702479338842976,0.12374600092993716,0.033189653042052916,0.37177461512280957,0.4886699507389163,121
351,0.9,Associative latent class model,0.7911330049261084,0.3383857676952763,0.6481481481481481,0.1414689036161109,0.05507188354300188,0.358387757790422,0.541871921182266,108
351,0.9,Renal-adjusted associative latent class model,0.819704433497537,0.40826148371485216,0.17592592592592593,0.12355959850264911,0.045434325436975155,0.360672316096261,0.47586206896551725,108
351,0.9,Two-nuisance adjusted associative latent model,0.8206896551724138,0.4107882941568286,0.14814814814814814,0.12348786364575443,0.04239232616086498,0.3585565940867758,0.470935960591133,108
351,0.9,Two-path biologically constrained latent SCM,0.8216748768472907,0.4133243566382712,0.12037037037037036,0.12410893503855276,0.04185524074745401,0.356989732256645,0.458128078817734,108
351,0.9,Two-path latent SCM (counterfactual query),0.819704433497537,0.4082625087608036,0.14814814814814814,0.14802671526155708,0.11916339653893632,0.13829187219459405,0.46798029556650245,108
351,0.9,Data-generating oracle (reference),0.8236453201970443,0.418411863173442,0.17592592592592593,0.12023176280323428,0.033917985414320354,0.38181364557636843,0.4896551724137931,108
352,0.9,Associative latent class model,0.81871921182266,0.405742124901663,0.3473684210526316,0.12588479714261996,0.023825788506780864,0.3640699356251211,0.48669950738916257,95
352,0.9,Renal-adjusted associative latent class model,0.8334975369458129,0.44433501007303816,0.11578947368421053,0.11791787686350828,0.02789990191198924,0.3622547921748061,0.483743842364532,95
352,0.9,Two-nuisance adjusted associative latent model,0.8305418719211822,0.4364767614799811,0.10526315789473684,0.1185473191715018,0.022203698379141705,0.3604967209786894,0.4807881773399015,95
352,0.9,Two-path biologically constrained latent SCM,0.8374384236453202,0.45492204247022866,0.12631578947368421,0.11762956067110528,0.03236201513530893,0.3608991052316355,0.4798029556650246,95
352,0.9,Two-path latent SCM (counterfactual query),0.8285714285714286,0.43127783377406664,0.16842105263157894,0.13907392421297593,0.11467094726453984,0.1282513444510268,0.4689655172413793,95
352,0.9,Data-generating oracle (reference),0.8364532019704434,0.4522664162206891,0.11578947368421053,0.11738894090005654,0.01869506073565436,0.37599783386410834,0.45714285714285713,95
353,0.9,Associative latent class model,0.8098522167487685,0.38343118585571073,0.5353535353535354,0.1387162437346649,0.05885771084390435,0.3581053102091836,0.548768472906404,99
353,0.9,Renal-adjusted associative latent class model,0.8108374384236453,0.3858781671432378,0.18181818181818182,0.12886679715972435,0.04756765239264709,0.35139904250713017,0.541871921182266,99
353,0.9,Two-nuisance adjusted associative latent model,0.8157635467980295,0.3982381015342788,0.20202020202020202,0.12898809805268796,0.04963899985897154,0.35172252762426376,0.5467980295566502,99
353,0.9,Two-path biologically constrained latent SCM,0.8157635467980295,0.39823690023628866,0.18181818181818182,0.12917248822856395,0.04736918059077244,0.3519783828861692,0.5408866995073892,99
353,0.9,Two-path latent SCM (counterfactual query),0.8216748768472907,0.41332310410617795,0.2222222222222222,0.14633649343661612,0.11785157173135144,0.1374570594563298,0.5349753694581281,99
353,0.9,Data-generating oracle (reference),0.8285714285714286,0.4312760682704423,0.18181818181818182,0.12159398101598742,0.030060017854393366,0.38483112884614656,0.49064039408866994,99
354,0.9,Associative latent class model,0.7783251231527094,0.30920184745541734,0.6842105263157895,0.16569918177485915,0.09097894741227397,0.3337781122656839,0.5990147783251232,114
354,0.9,Renal-adjusted associative latent class model,0.8118226600985222,0.3883313771001477,0.11403508771929824,0.12826126721597178,0.03535038421155294,0.3534990693615737,0.5221674876847291,114
354,0.9,Two-nuisance adjusted associative latent model,0.812807881773399,0.39079614941174634,0.15789473684210525,0.1279830109572669,0.034433892428839416,0.35264778194666274,0.529064039408867,114
354,0.9,Two-path biologically constrained latent SCM,0.8118226600985222,0.38833278950905303,0.18421052631578946,0.128242141071352,0.039809006052704876,0.35443915151770317,0.5339901477832513,114
354,0.9,Two-path latent SCM (counterfactual query),0.8167487684729065,0.4007285696063349,0.17543859649122806,0.15037429364740165,0.12488161383360999,0.13130102863126772,0.5133004926108374,114
354,0.9,Data-generating oracle (reference),0.8285714285714286,0.431275952222606,0.14912280701754385,0.12547151698224862,0.02665224986914535,0.38000452570762644,0.503448275862069,114
355,0.9,Associative latent class model,0.7517241379310344,0.2527257913683541,0.6595744680851063,0.15961296090516522,0.07861327424125991,0.37837817404035584,0.46502463054187193,94
355,0.9,Renal-adjusted associative latent class model,0.8236453201970443,0.41841183334932697,0.09574468085106383,0.12497360391477717,0.02830405670455734,0.3911012763465155,0.503448275862069,94
355,0.9,Two-nuisance adjusted associative latent model,0.8216748768472907,0.4133205467069465,0.09574468085106383,0.12501995674063404,0.02994927261570264,0.3891583732164426,0.503448275862069,94
355,0.9,Two-path biologically constrained latent SCM,0.8236453201970443,0.41841183334932697,0.11702127659574468,0.12531498628606094,0.02969469086979565,0.3897770960417227,0.503448275862069,94
355,0.9,Two-path latent SCM (counterfactual query),0.825615763546798,0.4235342032766249,0.10638297872340426,0.14829868889062248,0.12312792450021803,0.12163067001555236,0.4975369458128079,94
355,0.9,Data-generating oracle (reference),0.8206896551724138,0.4107869906295639,0.09574468085106383,0.12521084240054456,0.022165240530847286,0.37851199480216763,0.4827586206896552,94
356,0.9,Associative latent class model,0.7694581280788177,0.28973077958314525,0.6851851851851852,0.16025406828085126,0.06554914968265435,0.3650612690834337,0.5044334975369458,108
356,0.9,Renal-adjusted associative latent class model,0.8226600985221675,0.4158626434203121,0.1574074074074074,0.12361032880637444,0.024875416992642375,0.38230583593740525,0.48472906403940885,108
356,0.9,Two-nuisance adjusted associative latent model,0.8216748768472907,0.4133209526840654,0.1574074074074074,0.12397018959385493,0.020545142919859975,0.38250071550385584,0.48177339901477834,108
356,0.9,Two-path biologically constrained latent SCM,0.819704433497537,0.40826071663522395,0.1574074074074074,0.12385915129692857,0.016806143258709525,0.3822668282344854,0.483743842364532,108
356,0.9,Two-path latent SCM (counterfactual query),0.8216748768472907,0.4133209526840654,0.1574074074074074,0.1465193433505937,0.11887090420718606,0.125955195222752,0.48177339901477834,108
356,0.9,Data-generating oracle (reference),0.8157635467980295,0.3982338218320551,0.17592592592592593,0.1224782628020197,0.022679334977383756,0.3851085712684029,0.47586206896551725,108
357,0.9,Associative latent class model,0.7940886699507389,0.3453481302956019,0.2169811320754717,0.15002667692456367,0.1161105687548369,0.3459934491975177,0.36847290640394087,106
357,0.9,Renal-adjusted associative latent class model,0.81871921182266,0.40575966916841416,0.12264150943396226,0.1312702367782286,0.07864411094823723,0.34820549786751304,0.4088669950738916,106
357,0.9,Two-nuisance adjusted associative latent model,0.819704433497537,0.40827543159315643,0.1320754716981132,0.13077754519918264,0.07802991478038132,0.3487460007901232,0.41576354679802957,106
357,0.9,Two-path biologically constrained latent SCM,0.8285714285714286,0.4312864500177053,0.08490566037735849,0.12849186158202514,0.06460355061861647,0.3532362514013656,0.42857142857142855,106
357,0.9,Two-path latent SCM (counterfactual query),0.8275862068965517,0.4286906554205809,0.11320754716981132,0.14106706755208176,0.10815409728122925,0.145731579223195,0.46108374384236456,106
357,0.9,Data-generating oracle (reference),0.8305418719211822,0.4364761004664589,0.12264150943396226,0.12170620454932071,0.028464595714422586,0.38760608712132294,0.4935960591133005,106
358,0.9,Associative latent class model,0.7586206896551724,0.2668159673548087,0.7307692307692307,0.17114593414485454,0.09331000533252738,0.34225948106344284,0.5083743842364532,104
358,0.9,Renal-adjusted associative latent class model,0.8068965517241379,0.3761286590734953,0.49038461538461536,0.12908507491802218,0.037241236858486765,0.3606094464992225,0.5330049261083744,104
358,0.9,Two-nuisance adjusted associative latent model,0.8088669950738916,0.3809871778543316,0.49038461538461536,0.1291103522951469,0.03385207412486457,0.36004840502912633,0.5369458128078818,104
358,0.9,Two-path biologically constrained latent SCM,0.8295566502463054,0.4338726552843955,0.04807692307692308,0.11561140471540683,0.03029460266455952,0.3744226787881689,0.4827586206896552,104
358,0.9,Two-path latent SCM (counterfactual query),0.8374384236453202,0.4549214029202341,0.08653846153846154,0.13395205157652582,0.11338990752966283,0.11394887868456086,0.5024630541871922,104
358,0.9,Data-generating oracle (reference),0.8403940886699507,0.4629434922571463,0.16346153846153846,0.11316644849582068,0.026237956858597915,0.37689636272193483,0.5172413793103449,104
359,0.9,Associative latent class model,0.7655172413793103,0.2812892537814545,0.78125,0.17283531682329137,0.09577853832619418,0.35201406146968567,0.4935960591133005,96
359,0.9,Renal-adjusted associative latent class model,0.8157635467980295,0.3982367181392186,0.07291666666666667,0.12985393248293792,0.05736339773486735,0.37878465962355085,0.44532019704433495,96
359,0.9,Two-nuisance adjusted associative latent model,0.81871921182266,0.40574477288032007,0.0625,0.12986332536879847,0.05951898531495696,0.37871048188476364,0.45024630541871924,96
359,0.9,Two-path biologically constrained latent SCM,0.8167487684729065,0.40073042168341494,0.15625,0.1271472862229742,0.04948599354412408,0.38005259713149125,0.458128078817734,96
359,0.9,Two-path latent SCM (counterfactual query),0.8137931034482758,0.39326682112571715,0.20833333333333334,0.14986049452446903,0.11915360613473139,0.1403146608976876,0.4807881773399015,96
359,0.9,Data-generating oracle (reference),0.8167487684729065,0.40072846845228577,0.23958333333333334,0.12256303620634092,0.031469194730415165,0.4002221184984805,0.5054187192118227,96
360,0.9,Associative latent class model,0.734975369458128,0.2201165393771019,0.5619047619047619,0.18731487251170625,0.12587034869802663,0.35043757556958305,0.3980295566502463,105
360,0.9,Renal-adjusted associative latent class model,0.8167487684729065,0.40073398383716513,0.2,0.12877664724490648,0.052387448786429716,0.38732570463504096,0.45024630541871924,105
360,0.9,Two-nuisance adjusted associative latent model,0.819704433497537,0.4082656815863998,0.18095238095238095,0.12852384894537597,0.05362511207899784,0.38742264317294717,0.45123152709359604,105
360,0.9,Two-path biologically constrained latent SCM,0.8177339901477833,0.40324082828614255,0.0761904761904762,0.12961982349264822,0.061337596937941746,0.3907970257369303,0.4354679802955665,105
360,0.9,Two-path latent SCM (counterfactual query),0.819704433497537,0.4082648205980296,0.08571428571428572,0.15205375973211271,0.1285611049298956,0.11670053517027108,0.45517241379310347,105
360,0.9,Data-generating oracle (reference),0.8236453201970443,0.4184116824981159,0.14285714285714285,0.12418182811242474,0.03398051907741214,0.3843496496818732,0.4945812807881773,105
361,0.9,Associative latent class model,0.7527093596059113,0.2547280851366237,0.6565656565656566,0.16890138873450275,0.10673370677705052,0.35689378936260435,0.42857142857142855,99
361,0.9,Renal-adjusted associative latent class model,0.8394088669950739,0.4602683023557127,0.12121212121212122,0.11752880617598929,0.058922856833275986,0.3857466027625902,0.44236453201970444,99
361,0.9,Two-nuisance adjusted associative latent model,0.8423645320197044,0.4683372615821796,0.12121212121212122,0.11761298283313287,0.0538635912947484,0.3854010106899029,0.43940886699507387,99
361,0.9,Two-path biologically constrained latent SCM,0.8394088669950739,0.4602698275239133,0.13131313131313133,0.11774895588591411,0.05491458814674761,0.3853794746839377,0.43645320197044335,99
361,0.9,Two-path latent SCM (counterfactual query),0.8433497536945813,0.47103821018848757,0.13131313131313133,0.12937512489673395,0.10432603387300772,0.11695323673869766,0.458128078817734,99
361,0.9,Data-generating oracle (reference),0.8463054187192118,0.4791964231109409,0.1717171717171717,0.11152649133107262,0.02844312885226767,0.3818815521799372,0.4886699507389163,99
362,0.9,Associative latent class model,0.8118226600985222,0.3881032213894703,0.32407407407407407,0.1348262425790063,0.05257886783019727,0.3368684105233461,0.3921182266009852,108
362,0.9,Renal-adjusted associative latent class model,0.8068965517241379,0.375659954337848,0.05555555555555555,0.13505702514985235,0.0877360161201979,0.3373599750669203,0.3477832512315271,108
362,0.9,Two-nuisance adjusted associative latent model,0.8108374384236453,0.38541453829115513,0.05555555555555555,0.13467487537022166,0.08827566966187611,0.336160426173285,0.3477832512315271,108
362,0.9,Two-path biologically constrained latent SCM,0.8157635467980295,0.39783436409053186,0.09259259259259259,0.13117115955447553,0.08193127159157496,0.336631850367848,0.3566502463054187,108
