repeat,shift_index,shift,causal_renal_path_estimate,true_renal_path,causal_inflammation_path_estimate,true_inflammation_path,adjusted_irrelevant_slope_rms,target_missing_fraction,target_all_missing_rate
158,0,Exact no shift,0.8032941374342866,1.0,0.7939096254515738,0.8,0.3073173734909403,0.05533333333333333,0.0
159,0,Exact no shift,1.0773538104938059,1.0,0.9858861433264137,0.8,0.23470640827589365,0.05333333333333334,0.0
160,0,Exact no shift,1.1891212782047722,1.0,0.5095514745100794,0.8,0.10450992898450685,0.057666666666666665,0.0
161,0,Exact no shift,1.1002160892306219,1.0,0.6968970372052006,0.8,0.185000372561231,0.059333333333333335,0.0
162,0,Exact no shift,0.8905646398688375,1.0,0.5155097906173465,0.8,0.3164066520545883,0.050333333333333334,0.0
163,0,Exact no shift,1.05284184804918,1.0,0.8131591331732366,0.8,0.13838270184759943,0.06233333333333333,0.001
164,0,Exact no shift,0.9452801413261946,1.0,0.625741023776621,0.8,0.11501486844855066,0.05466666666666667,0.0
165,0,Exact no shift,1.2614713488861384,1.0,1.153489048595851,0.8,0.3273061873845341,0.05533333333333333,0.0
166,0,Exact no shift,0.7386114671979757,1.0,0.8873806109231979,0.8,0.4040204673625587,0.05266666666666667,0.0
167,0,Exact no shift,0.25258055444081423,1.0,0.8127904286989809,0.8,0.16938647542694538,0.056,0.0
168,0,Exact no shift,1.2997510286122678,1.0,1.1561714086396184,0.8,0.18382321991077885,0.051333333333333335,0.0
169,0,Exact no shift,1.1761795225691063,1.0,0.6214533169158671,0.8,0.3075681801089558,0.06133333333333333,0.001
170,0,Exact no shift,0.871676711666092,1.0,0.8241190507030441,0.8,0.1690821546201047,0.04666666666666667,0.0
171,0,Exact no shift,1.026003437431878,1.0,0.6246312936467636,0.8,0.18492225257084768,0.054,0.0
172,0,Exact no shift,1.0787644785540174,1.0,0.6731531714406539,0.8,0.16026614493159455,0.050333333333333334,0.001
173,0,Exact no shift,1.0993241174535813,1.0,0.9454800423662739,0.8,0.21805998616977795,0.04833333333333333,0.0
174,0,Exact no shift,0.9351951506029578,1.0,0.5722237860193066,0.8,0.14731151264940673,0.05333333333333334,0.0
175,0,Exact no shift,0.670624715456444,1.0,0.8803988430188315,0.8,0.1733204559468444,0.04933333333333333,0.0
176,0,Exact no shift,0.8895091878390168,1.0,0.7815093105160555,0.8,0.18888617593645154,0.056666666666666664,0.0
177,0,Exact no shift,1.4542831309680442,1.0,0.6821441117025328,0.8,0.3415261557713344,0.06166666666666667,0.0
178,0,Exact no shift,1.0081772806700833,1.0,1.006759780446358,0.8,0.11187140082724394,0.051,0.0
179,0,Exact no shift,1.1678793178985967,1.0,0.9672813444913159,0.8,0.17500193215542592,0.05533333333333333,0.0
180,0,Exact no shift,0.8089894103302925,1.0,0.4979101476820586,0.8,0.1640713806009163,0.050666666666666665,0.0
181,0,Exact no shift,1.2653948335042342,1.0,0.6679757138335362,0.8,0.20112915594859676,0.057666666666666665,0.001
182,0,Exact no shift,1.2344225954017927,1.0,1.0495795277377098,0.8,0.12847692400750918,0.051333333333333335,0.0
183,0,Exact no shift,0.6047022700450292,1.0,0.9027895877274263,0.8,0.2444548947745888,0.04933333333333333,0.0
184,0,Exact no shift,0.9470009238628575,1.0,1.0023980339600715,0.8,0.2157644741679955,0.056666666666666664,0.0
185,0,Exact no shift,1.2823993166959817,1.0,1.303161820668111,0.8,0.1311755800827656,0.051666666666666666,0.001
186,0,Exact no shift,1.301825540557604,1.0,0.8301442225173976,0.8,0.14419827051094322,0.051666666666666666,0.0
187,0,Exact no shift,1.0864723547993602,1.0,0.6020703231132286,0.8,0.1153731089421545,0.058333333333333334,0.0
188,0,Exact no shift,1.1414126938296336,1.0,0.9036343495509469,0.8,0.17586800166585748,0.059333333333333335,0.0
189,0,Exact no shift,1.2372734297624617,1.0,0.7321424400774847,0.8,0.14709531532289405,0.050333333333333334,0.0
190,0,Exact no shift,0.6931171960503318,1.0,0.646580615367724,0.8,0.18225661269490578,0.051666666666666666,0.0
191,0,Exact no shift,1.3312983908915974,1.0,0.5456608109564001,0.8,0.15649085137478103,0.051,0.0
192,0,Exact no shift,1.0184838463025985,1.0,0.3710222861600605,0.8,0.25690317980545596,0.05466666666666667,0.0
193,0,Exact no shift,0.9849348749921242,1.0,0.6376964947612994,0.8,0.29653345911834883,0.059666666666666666,0.001
194,0,Exact no shift,1.0384260993658558,1.0,0.6374891156120774,0.8,0.12678237726258812,0.063,0.001
195,0,Exact no shift,0.7351981023063708,1.0,0.5699738734614042,0.8,0.11273729988275316,0.059666666666666666,0.0
196,0,Exact no shift,0.8708669510566189,1.0,0.8318730844498969,0.8,0.13368708420912762,0.04466666666666667,0.0
197,0,Exact no shift,1.1580830270073135,1.0,0.5071465645980482,0.8,0.2020377788046151,0.053,0.001
198,0,Exact no shift,0.7598947772709552,1.0,0.7360838154683198,0.8,0.1237965562262529,0.05366666666666667,0.0
199,0,Exact no shift,0.9676041138696004,1.0,1.4138896644291215,0.8,0.22768810721392524,0.05433333333333333,0.0
200,0,Exact no shift,0.6378303500941926,1.0,0.8229024516087358,0.8,0.15487008375246464,0.05633333333333333,0.0
201,0,Exact no shift,0.8888372144508961,1.0,1.1023549800686732,0.8,0.29371834974127425,0.055,0.0
202,0,Exact no shift,1.2010988828885178,1.0,0.8452044406331802,0.8,0.15855415676112875,0.051666666666666666,0.001
203,0,Exact no shift,1.3174092468830916,1.0,0.7074578888249019,0.8,0.3089620658960412,0.059666666666666666,0.0
204,0,Exact no shift,0.881580951509976,1.0,0.6400462648158174,0.8,0.21179907162309974,0.053,0.0
205,0,Exact no shift,1.035887809059042,1.0,0.4984045641643026,0.8,0.20259211655930034,0.057666666666666665,0.0
206,0,Exact no shift,1.1076211432459802,1.0,0.708124956443474,0.8,0.3046830859861685,0.051,0.0
207,0,Exact no shift,0.7098772806144261,1.0,0.951074308433998,0.8,0.3637733200624762,0.054,0.0
208,0,Exact no shift,1.1670487386073116,1.0,1.1030731340845668,0.8,0.22756514687994772,0.04666666666666667,0.0
209,0,Exact no shift,0.7249509517086905,1.0,0.770912404740199,0.8,0.20009619039322438,0.06066666666666667,0.0
210,0,Exact no shift,1.164424653202254,1.0,0.8491892186602334,0.8,0.26645110537184313,0.05366666666666667,0.0
211,0,Exact no shift,1.1616425302121258,1.0,0.8547181495947147,0.8,0.2648393614068783,0.05433333333333333,0.0
212,0,Exact no shift,1.072931396360818,1.0,0.679748286607065,0.8,0.27147649382396616,0.06066666666666667,0.0
213,0,Exact no shift,1.064010246978781,1.0,0.9773626897071587,0.8,0.14164803324811237,0.051,0.0
214,0,Exact no shift,1.1090312947734942,1.0,0.747489436537447,0.8,0.10634050038107928,0.05533333333333333,0.0
215,0,Exact no shift,1.0332242812790133,1.0,0.48684786889306425,0.8,0.12465662101180913,0.051666666666666666,0.0
216,0,Exact no shift,1.1459651896159648,1.0,0.554805591348908,0.8,0.1905770982212915,0.056,0.0
