repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
47,Pooled associative latent class model,True,15,3,-8040.2558539424135,0.49882871387373245,1.8814713568505466
47,Target-calibrated associative latent model,True,16,2,-7824.337147090504,0.498775503420046,1.9270388711346982
47,Modular causal latent SCM,True,17,3,-7825.764201379545,0.4974189035850014,1.9395561479377017
48,Pooled associative latent class model,True,19,3,-7928.262751893135,0.48361150089577665,2.112998628708292
48,Target-calibrated associative latent model,True,18,2,-7684.2479470429535,0.47396106122276727,2.2195737190551363
48,Modular causal latent SCM,True,18,0,-7687.699299329352,0.47707822502291297,2.2136817868784435
49,Pooled associative latent class model,True,26,1,-7992.507996375674,0.4510797247443553,2.1511797939597614
49,Target-calibrated associative latent model,True,24,1,-7773.597022245028,0.4640315217720438,2.166862215079962
49,Modular causal latent SCM,True,24,1,-7777.130456172935,0.4630479744136674,2.1672162834881874
50,Pooled associative latent class model,True,30,1,-7972.60436029869,0.4635118527807306,1.88338142948349
50,Target-calibrated associative latent model,True,22,1,-7738.0729539424065,0.48101277597347375,1.951745343096913
50,Modular causal latent SCM,True,22,1,-7745.43025876888,0.4822494088690623,1.9625473041400485
51,Pooled associative latent class model,True,26,1,-8042.596165384078,0.47784697636883455,1.8529400006516619
51,Target-calibrated associative latent model,True,20,3,-7781.005631073232,0.4940213316849408,1.9332667762108762
51,Modular causal latent SCM,True,20,0,-7785.607528589788,0.492803877322494,1.9615170645672533
52,Pooled associative latent class model,True,20,1,-7983.887474160014,0.46870817027305,1.870609151392939
52,Target-calibrated associative latent model,True,19,1,-7765.378385438548,0.48675302169060225,1.9366585746859668
52,Modular causal latent SCM,True,21,2,-7771.75924541779,0.491140302066779,1.9722208761630529
53,Pooled associative latent class model,True,20,2,-7999.742874347672,0.4948257478977842,1.8596193925494218
53,Target-calibrated associative latent model,True,22,2,-7778.1402261333915,0.4776074759099713,1.9235074091117066
53,Modular causal latent SCM,True,20,0,-7782.156368882063,0.47750114241274993,1.9178624165508864
54,Pooled associative latent class model,True,23,2,-7997.757572490127,0.48473403301211443,1.893626252638642
54,Target-calibrated associative latent model,True,16,2,-7770.2378772556685,0.49919619092281337,1.9464796592112774
54,Modular causal latent SCM,True,19,3,-7774.745673596979,0.49657317180965177,1.9442452030004627
55,Pooled associative latent class model,True,25,3,-7881.829640581454,0.4996498030658646,1.8817648430913425
55,Target-calibrated associative latent model,True,22,1,-7643.745169485412,0.4814989862536941,1.9177871632794892
55,Modular causal latent SCM,True,22,1,-7653.725977927423,0.48536649078807703,1.9141073084661064
56,Pooled associative latent class model,True,27,3,-8043.200079917625,0.4937331328741134,2.05911939944668
56,Target-calibrated associative latent model,True,19,1,-7814.020185368694,0.48674217641274575,2.1389397601754863
56,Modular causal latent SCM,True,18,1,-7821.123702231294,0.4858680662286708,2.1177845748858246
57,Pooled associative latent class model,True,34,3,-8055.545228620714,0.44578204222423146,1.9042998879699633
57,Target-calibrated associative latent model,True,27,0,-7798.547133927123,0.4486121346148517,2.027544382306008
57,Modular causal latent SCM,True,28,3,-7806.726526515155,0.4435736792210086,2.020255672920952
58,Pooled associative latent class model,True,30,1,-8044.60761051236,0.4583059339166812,1.7443272821809273
58,Target-calibrated associative latent model,True,31,0,-7821.771451345603,0.44875279734933854,1.7780912661085182
58,Modular causal latent SCM,True,32,0,-7821.900540592998,0.44652887494051946,1.7783381329930825
59,Pooled associative latent class model,True,22,0,-8011.7668839352355,0.4855200938797941,1.7784942427293848
59,Target-calibrated associative latent model,True,22,2,-7805.053684218225,0.4763979114559695,1.8540403888954442
59,Modular causal latent SCM,True,23,2,-7805.987082451889,0.47560603960747333,1.864791797622979
60,Pooled associative latent class model,True,18,1,-8027.294057576806,0.4874171249478991,1.7423937223883137
60,Target-calibrated associative latent model,True,25,3,-7824.614039707723,0.4753542783231073,1.809320538566259
60,Modular causal latent SCM,True,16,1,-7829.8029965496025,0.4764509488172198,1.7956945725752358
61,Pooled associative latent class model,True,24,1,-8047.3052904411525,0.4813104923837176,1.9133863398665536
61,Target-calibrated associative latent model,True,19,3,-7768.190910438185,0.49886967922463055,2.00823893047855
61,Modular causal latent SCM,True,16,3,-7774.191139688987,0.49645226372068235,2.010209280373658
62,Pooled associative latent class model,True,23,2,-8009.705008882467,0.48071380525145413,2.0263577216227744
62,Target-calibrated associative latent model,True,20,1,-7785.597241660983,0.4885260906090894,2.0030750846165373
62,Modular causal latent SCM,True,15,3,-7790.897143053967,0.49503450964405477,2.037904350062791
63,Pooled associative latent class model,True,18,0,-8006.025293948007,0.4755458133738967,1.9210429005311036
63,Target-calibrated associative latent model,True,20,0,-7740.993794333446,0.47560987219690615,1.8788217886427345
63,Modular causal latent SCM,True,19,0,-7747.512031863644,0.47539792251844665,1.8889475117143948
64,Pooled associative latent class model,True,24,1,-8047.363646350681,0.47191422323676585,1.9955186056802978
64,Target-calibrated associative latent model,True,20,3,-7762.335579818271,0.4867342650615207,2.0762362489684785
64,Modular causal latent SCM,True,20,3,-7767.671435668214,0.4879879652118855,2.07853559809564
65,Pooled associative latent class model,True,23,2,-8043.915665862947,0.4986532260513001,1.9659633758547734
65,Target-calibrated associative latent model,True,28,3,-7784.148060025426,0.4744573453259872,2.017281910888242
65,Modular causal latent SCM,True,23,2,-7787.26951205275,0.47740526080856877,1.9719805115760685
66,Pooled associative latent class model,True,20,3,-8035.683985336234,0.4839929066480431,2.1506306332347895
66,Target-calibrated associative latent model,True,21,3,-7777.811910773886,0.47239189050950625,2.2447416748035494
66,Modular causal latent SCM,True,22,2,-7782.508341670841,0.46799719386891153,2.2784115476546303
67,Pooled associative latent class model,True,25,2,-8018.994391485238,0.48529206525564583,1.8834217514130975
67,Target-calibrated associative latent model,True,24,2,-7800.082693135397,0.49748549001434955,1.9796771486950298
67,Modular causal latent SCM,True,22,1,-7802.935792543233,0.49834607580644474,1.9336641824655358
68,Pooled associative latent class model,True,28,1,-7992.40251609215,0.48070129389326527,2.000457211365321
68,Target-calibrated associative latent model,True,14,3,-7731.888823579764,0.4957209858461032,2.1745674860895754
68,Modular causal latent SCM,True,17,3,-7741.431857931018,0.49842872113650893,2.1685441842068185
69,Pooled associative latent class model,True,19,0,-8047.877495903722,0.4951797392429925,1.8127029792570144
