repeat,truth_k,selected_k,select_k2,bic_k1,bic_k2,bic_k2_minus_k1,minimum_k2_weight,k2_converged,k2_iterations
124,1,1,False,8469.78616523074,8510.827216376607,41.04105114586673,0.49751894452188966,True,8
125,1,1,False,8550.52226865091,8595.46457399284,44.94230534193048,0.47193810135912434,True,14
126,1,1,False,8544.01600483165,8589.046098393075,45.03009356142502,0.49334884147996716,True,17
127,1,1,False,8461.350680912841,8503.574888187795,42.2242072749541,0.4805561902670797,True,16
128,1,1,False,8562.10147680015,8605.38151011844,43.2800333182895,0.49283562939620357,True,15
129,1,1,False,8411.102968472835,8452.852614079815,41.749645606980266,0.4985577009885524,True,6
130,1,1,False,8454.400743169244,8497.580869783515,43.18012661427019,0.47456666808230713,True,18
131,1,1,False,8639.92178088902,8680.889419372274,40.96763848325281,0.47105142149895357,True,38
132,1,1,False,8444.45980261577,8484.395057466756,39.935254850986894,0.49795035243666613,True,39
133,1,1,False,8536.90661773314,8578.989507883527,42.08289015038645,0.4996678341780982,True,11
134,1,1,False,8533.434458811818,8573.739132832701,40.304674020882885,0.49382441754831485,True,15
135,1,1,False,8467.366607509492,8510.183303114301,42.816695604809865,0.4880305924477119,True,15
136,1,1,False,8591.806956083368,8635.259090376212,43.452134292843766,0.4997737278650188,True,30
137,1,1,False,8425.566164485383,8469.657419271029,44.091254785646015,0.47724143674141606,True,28
138,1,1,False,8564.384362970188,8603.601761213964,39.21739824377619,0.48149421800660863,True,7
139,1,1,False,8620.26095847868,8658.831276047224,38.57031756854303,0.49849700000719416,True,8
140,1,1,False,8446.009930640703,8479.170402376765,33.16047173606239,0.4773577657440269,True,45
141,1,1,False,8506.37254500034,8537.224360312788,30.851815312447798,0.49806393959518,True,11
142,1,1,False,8483.316027982015,8522.331359075595,39.015331093580244,0.48829932132884285,True,26
143,1,1,False,8536.518226531756,8575.504519286524,38.98629275476742,0.4834740288146073,True,11
144,1,1,False,8536.062906508854,8573.689537181768,37.62663067291396,0.4834176927969496,True,10
145,1,1,False,8470.625107362925,8505.500873445324,34.87576608239942,0.4999875696203956,True,5
146,1,1,False,8633.863499666393,8674.058944444865,40.19544477847194,0.49658300727899185,True,10
147,1,1,False,8683.858889122886,8726.459208335364,42.60031921247719,0.49942823978984696,True,17
148,1,1,False,8462.205349776896,8502.130265202622,39.924915425726795,0.49011181437376317,True,20
149,1,1,False,8593.667961580813,8635.767325808096,42.09936422728242,0.4964966554088731,True,16
150,1,1,False,8438.554560514469,8470.911197134565,32.35663662009574,0.49327743005599023,True,21
151,1,1,False,8595.324289160075,8632.932172276698,37.60788311662327,0.48287045114058036,True,12
152,1,1,False,8486.96635047527,8525.226594106845,38.26024363157558,0.49248720555494513,True,37
153,1,1,False,8514.368825484315,8556.196390815,41.82756533068459,0.4815054556107373,True,34
154,1,1,False,8490.704423005183,8526.641956029538,35.93753302435471,0.49527262270758293,True,6
155,1,1,False,8594.504052553712,8637.13239244437,42.628339890658026,0.49181489405272427,True,24
156,1,1,False,8664.276791101562,8704.248791988162,39.972000886600654,0.4738725679235365,True,16
157,1,1,False,8525.289899973717,8568.300756251998,43.0108562782807,0.4907577688235739,True,43
158,1,1,False,8555.642884668225,8594.068860954721,38.425976286496734,0.4810433509298724,True,18
159,1,1,False,8392.490052244593,8432.491731574552,40.00167932995828,0.49863291815063954,True,12
160,1,1,False,8555.618825272053,8600.902600587504,45.28377531545084,0.49847660219885404,True,17
161,1,1,False,8599.594763164143,8637.792138159406,38.19737499526309,0.49850579345649754,True,24
162,1,1,False,8558.271287876436,8590.507745282302,32.23645740586653,0.4666494699158947,True,11
163,1,1,False,8546.665880682987,8581.875300051102,35.20941936811505,0.4627123112116423,True,14
164,1,1,False,8632.96062028967,8680.315920302803,47.355300013132364,0.48768971025164115,True,10
165,1,1,False,8464.20257480147,8505.836045911556,41.63347111008625,0.49764670003656475,True,13
166,1,1,False,8494.761617650915,8537.018822066651,42.25720441573685,0.48474488244862934,True,7
167,1,1,False,8574.422777371754,8609.132152870998,34.70937549924383,0.49001185581190176,True,12
168,1,1,False,8536.484772361968,8577.244653856122,40.75988149415389,0.4639027151867364,True,14
169,1,1,False,8615.221413490392,8653.076594241114,37.855180750722866,0.4863145055518335,True,68
