repeat,renal_effect_sd,heart_failure_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy__uncomplicated,false_atrial__uncomplicated,mean_posterior_entropy__uncomplicated,subgroup_size__uncomplicated,competing_subgroup_size__uncomplicated,accuracy__renal_only,false_atrial__renal_only,mean_posterior_entropy__renal_only,subgroup_size__renal_only,competing_subgroup_size__renal_only,accuracy__heart_failure_only,false_atrial__heart_failure_only,mean_posterior_entropy__heart_failure_only,subgroup_size__heart_failure_only,competing_subgroup_size__heart_failure_only,accuracy__redundant,false_atrial__redundant,mean_posterior_entropy__redundant,subgroup_size__redundant,competing_subgroup_size__redundant
16,0.5,0.0,Two-nuisance adjusted associative latent model,0.815,0.39629376198118277,0.14556962025316456,0.1304683660461037,0.03650769848869486,0.3473706917074625,0.537,158,0.8180379746835443,0.23411371237458195,0.3405932240642832,632,299,0.8090277777777778,0.14093959731543623,0.36443768820354866,288,149,0.8125,0.3333333333333333,0.3404269379734115,64,21,0.8125,0.2222222222222222,0.3356497416196954,16,9
16,0.5,0.0,Two-path biologically constrained latent SCM,0.811,0.386269167415518,0.16455696202531644,0.12908011317035414,0.03539529516496202,0.352217433014645,0.527,158,0.8085443037974683,0.21739130434782608,0.34471653755581144,632,299,0.8194444444444444,0.15436241610738255,0.3700798679789571,288,149,0.8125,0.2857142857142857,0.35079800070719036,64,21,0.75,0.3333333333333333,0.3326567035107703,16,9
16,0.5,0.0,Two-path latent SCM (counterfactual query),0.811,0.3862689095449416,0.17088607594936708,0.1531627423883645,0.12846296450096495,0.12551754001140553,0.529,158,0.8069620253164557,0.21739130434782608,0.12017786130734616,632,299,0.8229166666666666,0.1610738255033557,0.12737615032097407,288,149,0.8125,0.2857142857142857,0.15893638251634706,64,21,0.75,0.3333333333333333,0.16930449322974953,16,9
17,0.5,0.0,Associative latent class model,0.815,0.3963079554047985,0.4557823129251701,0.13195318083763977,0.08418056554018377,0.3192008163747389,0.591,147,0.8370253164556962,0.19692307692307692,0.3228867697003055,632,325,0.7811447811447811,0.42105263157894735,0.3064691267694313,297,133,0.85,0.1111111111111111,0.3867690579291182,40,18,0.6451612903225806,0.7857142857142857,0.27884790182128977,31,14
17,0.5,0.0,Renal-adjusted associative latent class model,0.829,0.432403733054219,0.14965986394557823,0.12442217720423801,0.058635943928020275,0.3200330155734,0.575,147,0.8132911392405063,0.28,0.3088028559969446,632,325,0.8619528619528619,0.13533834586466165,0.3298706488483309,297,133,0.825,0.2777777777777778,0.36339024865474456,40,18,0.8387096774193549,0.2857142857142857,0.3987876751350642,31,14
17,0.5,0.0,Two-nuisance adjusted associative latent model,0.833,0.4430050413278349,0.16326530612244897,0.12403168900956325,0.0630106496055117,0.31615902105032495,0.569,147,0.8212025316455697,0.2553846153846154,0.30647440890195116,632,325,0.8619528619528619,0.13533834586466165,0.32733867083500107,297,133,0.825,0.3333333333333333,0.3478932186584607,40,18,0.8064516129032258,0.42857142857142855,0.36554453677284177,31,14
17,0.5,0.0,Two-path biologically constrained latent SCM,0.833,0.44300619861106144,0.19047619047619047,0.12273049911396881,0.06131961679453805,0.31964559738765774,0.575,147,0.8212025316455697,0.2553846153846154,0.3096444084491173,632,325,0.8585858585858586,0.17293233082706766,0.3283028263033822,297,133,0.825,0.2777777777777778,0.36424197553859167,40,18,0.8387096774193549,0.35714285714285715,0.3830552520699183,31,14
17,0.5,0.0,Two-path latent SCM (counterfactual query),0.842,0.4673248528146783,0.16326530612244897,0.13460787780491806,0.1102563934551965,0.12974537664244754,0.538,147,0.8338607594936709,0.20615384615384616,0.12104744344781532,632,325,0.8585858585858586,0.14285714285714285,0.1351500168580752,297,133,0.875,0.1111111111111111,0.19959537142292758,40,18,0.8064516129032258,0.35714285714285715,0.16516201676331696,31,14
18,0.5,0.0,Associative latent class model,0.815,0.3962958177275254,0.3624161073825503,0.12490366709324054,0.029478115999270946,0.35518700082623966,0.507,149,0.8201892744479495,0.12037037037037036,0.35989934001166013,634,324,0.788961038961039,0.3732394366197183,0.34020946040322175,308,142,0.8936170212765957,0.08,0.386303993429378,47,25,0.9090909090909091,0.14285714285714285,0.37000161486127836,11,7
18,0.5,0.0,Renal-adjusted associative latent class model,0.836,0.45103554165721405,0.2684563758389262,0.11671148049479708,0.02325368561905003,0.36016337302003704,0.522,149,0.8375394321766562,0.14814814814814814,0.35769376732408303,634,324,0.827922077922078,0.2746478873239437,0.36208175702812617,308,142,0.851063829787234,0.16,0.38764221974902846,47,25,0.9090909090909091,0.14285714285714285,0.3313780948819311,11,7
18,0.5,0.0,Two-nuisance adjusted associative latent model,0.836,0.451035048025359,0.26174496644295303,0.1168908016728448,0.02257142113397916,0.3604932542172401,0.516,149,0.8375394321766562,0.14814814814814814,0.35874849597027625,634,324,0.827922077922078,0.2746478873239437,0.362314480925563,308,142,0.8297872340425532,0.08,0.38381160946769094,47,25,1.0,0.0,0.3104274547300064,11,7
18,0.5,0.0,Two-path biologically constrained latent SCM,0.836,0.451035048025359,0.2348993288590604,0.11542941176956946,0.016425607838797464,0.3614162425454574,0.516,149,0.8359621451104101,0.15432098765432098,0.35741041837533394,634,324,0.827922077922078,0.23943661971830985,0.367238356881039,308,142,0.8723404255319149,0.16,0.3864648892500985,47,25,0.9090909090909091,0.14285714285714285,0.32225214376191214,11,7
18,0.5,0.0,Two-path latent SCM (counterfactual query),0.837,0.4537294518085721,0.22818791946308725,0.13282365278885458,0.0978511147529247,0.137485183307832,0.511,149,0.8375394321766562,0.14814814814814814,0.12934544191896546,634,324,0.8311688311688312,0.2323943661971831,0.146819680659968,308,142,0.851063829787234,0.16,0.19280354661328006,47,25,0.9090909090909091,0.14285714285714285,0.1089040724648723,11,7
19,0.5,0.0,Associative latent class model,0.79,0.3357453177663222,0.26490066225165565,0.14655602988582375,0.0901786226836268,0.3627619727134074,0.415,151,0.7783018867924528,0.04777070063694268,0.36258263511476174,636,314,0.8067796610169492,0.2702702702702703,0.3664405612245175,295,148,0.8727272727272727,0.08333333333333333,0.34530516033229186,55,24,0.6428571428571429,0.0,0.361976242922155,14,3
19,0.5,0.0,Renal-adjusted associative latent class model,0.813,0.3912724364350497,0.1390728476821192,0.12951536055561808,0.07155852403869369,0.37488933279922887,0.434,151,0.809748427672956,0.09872611464968153,0.3796263166482737,636,314,0.823728813559322,0.14189189189189189,0.3774136790526978,295,148,0.8545454545454545,0.125,0.3179013298487302,55,24,0.5714285714285714,0.0,0.3303847820500581,14,3
19,0.5,0.0,Two-nuisance adjusted associative latent model,0.814,0.39378276138872853,0.1390728476821192,0.1298509987871626,0.07337291274132257,0.3740580703272964,0.435,151,0.8081761006289309,0.09872611464968153,0.3788015949714438,636,314,0.823728813559322,0.14189189189189189,0.37709662782093273,295,148,0.8727272727272727,0.125,0.3130810853908033,55,24,0.6428571428571429,0.0,0.33409221584205856,14,3
19,0.5,0.0,Two-path biologically constrained latent SCM,0.808,0.37884294217360925,0.13245033112582782,0.1331363687385077,0.08739514770670159,0.3725666760597246,0.419,151,0.8081761006289309,0.08598726114649681,0.3765929468119335,636,314,0.8135593220338984,0.13513513513513514,0.3759708408539523,295,148,0.8545454545454545,0.125,0.3200895579034466,55,24,0.5,0.0,0.32408843933781756,14,3
19,0.5,0.0,Two-path latent SCM (counterfactual query),0.824,0.4193254549436957,0.1456953642384106,0.146916021030033,0.12717657626806528,0.13743870990061027,0.455,151,0.8223270440251572,0.11146496815286625,0.13777411583774218,636,314,0.8271186440677966,0.14864864864864866,0.14735743035408175,295,148,0.8727272727272727,0.125,0.08583109699780246,55,24,0.6428571428571429,0.0,0.11594428131949851,14,3
0,0.5,0.5,Associative latent class model,0.773,0.29741818145832366,0.5384615384615384,0.15920040797859739,0.0706695991765847,0.3556046247908014,0.574,156,0.8070987654320988,0.1782178217821782,0.3609414190542471,648,303,0.6958041958041958,0.5448275862068965,0.3397901664391722,286,145,0.7916666666666666,0.21428571428571427,0.3986749175290069,48,28,0.7222222222222222,0.45454545454545453,0.29990008892520353,18,11
0,0.5,0.5,Renal-adjusted associative latent class model,0.802,0.3641815004285766,0.38461538461538464,0.1415830185324955,0.04042904616603893,0.3730190273525154,0.543,156,0.8209876543209876,0.1617161716171617,0.37309766208884815,648,303,0.7517482517482518,0.3931034482758621,0.37278652953175107,286,145,0.8333333333333334,0.17857142857142858,0.40486430204528384,48,28,0.8333333333333334,0.2727272727272727,0.28896157637152203,18,11
0,0.5,0.5,Two-nuisance adjusted associative latent model,0.8,0.35936114884289977,0.36538461538461536,0.13681105310447716,0.03848738912146584,0.37389654766188646,0.549,156,0.816358024691358,0.18811881188118812,0.37386732339990036,648,303,0.7587412587412588,0.3793103448275862,0.37794644178499825,286,145,0.7916666666666666,0.14285714285714285,0.38613220948673715,48,28,0.8888888888888888,0.18181818181818182,0.2779718718265624,18,11
0,0.5,0.5,Two-path biologically constrained latent SCM,0.808,0.3788365699180756,0.2564102564102564,0.13419391988633855,0.03727996824932304,0.37724430642817386,0.549,156,0.8148148148148148,0.22772277227722773,0.3743045214392596,648,303,0.7937062937062938,0.2620689655172414,0.38573209906901057,286,145,0.7708333333333334,0.17857142857142858,0.4018910796516497,48,28,0.8888888888888888,0.18181818181818182,0.2824902432509695,18,11
0,0.5,0.5,Two-path latent SCM (counterfactual query),0.808,0.37883469851221696,0.20512820512820512,0.15885456867190334,0.13292867967319463,0.12567424564812105,0.509,156,0.8194444444444444,0.18811881188118812,0.13228358049954536,648,303,0.7832167832167832,0.20689655172413793,0.11456981117043406,286,145,0.7708333333333334,0.17857142857142858,0.12657338423632955,48,28,0.8888888888888888,0.18181818181818182,0.061777613684872765,18,11
1,0.5,0.5,Associative latent class model,0.775,0.3018120423367845,0.47337278106508873,0.1639107880866299,0.07598765225703069,0.3510079792578123,0.563,169,0.804416403785489,0.18181818181818182,0.3605190135171763,634,308,0.7133105802047781,0.4810126582278481,0.3297800588522757,293,158,0.7551020408163265,0.3333333333333333,0.3724449597573667,49,21,0.7916666666666666,0.36363636363636365,0.31514851733728194,24,11
1,0.5,0.5,Renal-adjusted associative latent class model,0.799,0.3569634336209354,0.3668639053254438,0.14213386264466288,0.04890646116834969,0.3736139042321581,0.535,169,0.8186119873817035,0.15584415584415584,0.37648621299677637,634,308,0.7610921501706485,0.3670886075949367,0.36679252827092657,293,158,0.7755102040816326,0.3333333333333333,0.38285577582509256,49,21,0.7916666666666666,0.36363636363636365,0.362145891391285,24,11
1,0.5,0.5,Two-nuisance adjusted associative latent model,0.801,0.36176787762386076,0.34911242603550297,0.14121478492008283,0.04704901690366999,0.3712487339902562,0.533,169,0.8201892744479495,0.1590909090909091,0.3731365856960865,634,308,0.764505119453925,0.35443037974683544,0.36487486503829136,293,158,0.7551020408163265,0.3333333333333333,0.38480227664133493,49,21,0.8333333333333334,0.2727272727272727,0.3715204853038572,24,11
1,0.5,0.5,Two-path biologically constrained latent SCM,0.803,0.3666030797289814,0.24260355029585798,0.13334543714466263,0.03411481175615885,0.3783896516582106,0.521,169,0.8138801261829653,0.19480519480519481,0.37658749016151816,634,308,0.7849829351535836,0.2468354430379747,0.3790025178152188,293,158,0.7755102040816326,0.3333333333333333,0.384050866540373,49,21,0.7916666666666666,0.18181818181818182,0.4069563631446142,24,11
