repeat,renal_effect_sd,heart_failure_effect_sd,agreement_with_mechanism,agreement_with_kidney_status,called_atrial_size,composition__atrial_normal_kidneys,composition__atrial_impaired_kidneys,composition__competing_impaired_kidneys,composition__competing_normal_kidneys
36,0.25,1.5,0.807,0.507,561,0.5454545454545454,0.21746880570409982,0.0766488413547237,0.16042780748663102
37,0.25,1.5,0.808,0.564,461,0.5357917570498916,0.24511930585683298,0.11713665943600868,0.1019522776572668
38,0.25,1.5,0.816,0.545,467,0.556745182012848,0.27194860813704497,0.07708779443254818,0.09421841541755889
39,0.25,1.5,0.827,0.501,583,0.5506003430531733,0.22984562607204118,0.10291595197255575,0.11663807890222985
0,0.5,1.5,0.806,0.531,584,0.5034246575342466,0.2568493150684932,0.10616438356164383,0.13356164383561644
1,0.5,1.5,0.793,0.519,548,0.5255474452554745,0.25364963503649635,0.07481751824817519,0.145985401459854
2,0.5,1.5,0.777,0.592,583,0.44596912521440824,0.2881646655231561,0.1320754716981132,0.13379073756432247
3,0.5,1.5,0.819,0.626,414,0.5483091787439613,0.3188405797101449,0.07246376811594203,0.06038647342995169
4,0.5,1.5,0.803,0.605,473,0.5243128964059197,0.3044397463002114,0.10993657505285412,0.0613107822410148
5,0.5,1.5,0.782,0.627,433,0.5473441108545035,0.302540415704388,0.09006928406466513,0.06004618937644342
6,0.5,1.5,0.818,0.599,461,0.5531453362255966,0.2885032537960954,0.08893709327548807,0.06941431670281996
7,0.5,1.5,0.815,0.558,516,0.5484496124031008,0.2558139534883721,0.11434108527131782,0.08139534883720931
8,0.5,1.5,0.779,0.619,485,0.5237113402061856,0.25773195876288657,0.13402061855670103,0.08453608247422681
9,0.5,1.5,0.799,0.593,533,0.5215759849906192,0.275797373358349,0.1275797373358349,0.075046904315197
10,0.5,1.5,0.802,0.567,540,0.524074074074074,0.23703703703703705,0.13333333333333333,0.10555555555555556
11,0.5,1.5,0.784,0.568,629,0.4785373608903021,0.2670906200317965,0.13354531001589826,0.12082670906200318
12,0.5,1.5,0.754,0.551,644,0.46273291925465837,0.234472049689441,0.15217391304347827,0.15062111801242237
13,0.5,1.5,0.823,0.528,542,0.5313653136531366,0.2564575645756458,0.08856088560885608,0.12361623616236163
14,0.5,1.5,0.777,0.503,621,0.500805152979066,0.22544283413848631,0.1111111111111111,0.16264090177133655
15,0.5,1.5,0.795,0.583,530,0.5075471698113208,0.25660377358490566,0.12641509433962264,0.10943396226415095
16,0.5,1.5,0.784,0.546,647,0.47295208655332305,0.25193199381761977,0.1391035548686244,0.13601236476043277
17,0.5,1.5,0.81,0.544,579,0.5112262521588946,0.25906735751295334,0.10189982728842832,0.12780656303972365
18,0.5,1.5,0.788,0.612,503,0.5089463220675944,0.2644135188866799,0.12922465208747516,0.09741550695825049
19,0.5,1.5,0.789,0.637,426,0.5093896713615024,0.3215962441314554,0.12206572769953052,0.046948356807511735
20,0.5,1.5,0.824,0.558,489,0.5521472392638037,0.2883435582822086,0.08588957055214724,0.0736196319018405
21,0.5,1.5,0.792,0.627,369,0.5447154471544715,0.32791327913279134,0.07859078590785908,0.04878048780487805
22,0.5,1.5,0.797,0.543,518,0.5328185328185329,0.24903474903474904,0.08301158301158301,0.13513513513513514
23,0.5,1.5,0.769,0.623,419,0.5298329355608592,0.31026252983293556,0.0883054892601432,0.07159904534606205
24,0.5,1.5,0.812,0.576,469,0.5522388059701493,0.2857142857142857,0.08742004264392324,0.07462686567164178
25,0.5,1.5,0.796,0.617,486,0.5102880658436214,0.2736625514403292,0.12345679012345678,0.09259259259259259
26,0.5,1.5,0.806,0.508,571,0.5183887915936952,0.2574430823117338,0.0647985989492119,0.159369527145359
27,0.5,1.5,0.829,0.573,542,0.5313653136531366,0.2896678966789668,0.0959409594095941,0.08302583025830258
28,0.5,1.5,0.797,0.501,608,0.5296052631578947,0.21052631578947367,0.11842105263157894,0.14144736842105263
29,0.5,1.5,0.801,0.577,510,0.5019607843137255,0.2803921568627451,0.10392156862745099,0.11372549019607843
30,0.5,1.5,0.819,0.571,477,0.549266247379455,0.2851153039832285,0.0859538784067086,0.07966457023060797
31,0.5,1.5,0.812,0.601,473,0.5200845665961945,0.2854122621564482,0.10782241014799154,0.08668076109936575
32,0.5,1.5,0.78,0.505,614,0.48859934853420195,0.21661237785016288,0.1270358306188925,0.16775244299674266
33,0.5,1.5,0.823,0.533,546,0.5677655677655677,0.23992673992673993,0.08608058608058608,0.10622710622710622
34,0.5,1.5,0.781,0.579,488,0.5327868852459017,0.2540983606557377,0.10655737704918032,0.10655737704918032
35,0.5,1.5,0.82,0.548,562,0.5462633451957295,0.23843416370106763,0.11921708185053381,0.09608540925266904
36,0.5,1.5,0.832,0.564,443,0.6117381489841986,0.2618510158013544,0.05869074492099323,0.06772009029345373
37,0.5,1.5,0.82,0.52,546,0.5677655677655677,0.23809523809523808,0.09523809523809523,0.0989010989010989
38,0.5,1.5,0.81,0.554,557,0.5224416517055656,0.26929982046678635,0.09156193895870736,0.11669658886894076
39,0.5,1.5,0.818,0.542,554,0.5379061371841155,0.2779783393501805,0.09566787003610108,0.08844765342960288
0,0.75,1.5,0.724,0.709,367,0.4359673024523161,0.38419618528610355,0.13896457765667575,0.04087193460490463
1,0.75,1.5,0.764,0.657,482,0.46887966804979253,0.3236514522821577,0.15145228215767634,0.056016597510373446
2,0.75,1.5,0.796,0.655,450,0.4955555555555556,0.32222222222222224,0.12,0.06222222222222222
3,0.75,1.5,0.776,0.645,555,0.4864864864864865,0.2774774774774775,0.16396396396396395,0.07207207207207207
4,0.75,1.5,0.792,0.602,525,0.49142857142857144,0.2914285714285714,0.12,0.09714285714285714
5,0.75,1.5,0.775,0.673,501,0.4550898203592814,0.32934131736526945,0.1377245508982036,0.07784431137724551
6,0.75,1.5,0.746,0.688,461,0.42733188720173537,0.3492407809110629,0.17136659436008678,0.052060737527114966
7,0.75,1.5,0.796,0.526,529,0.5330812854442344,0.2514177693761815,0.07939508506616257,0.13610586011342155
8,0.75,1.5,0.789,0.642,478,0.48535564853556484,0.3263598326359833,0.1297071129707113,0.058577405857740586
9,0.75,1.5,0.77,0.682,438,0.4726027397260274,0.3310502283105023,0.15296803652968036,0.04337899543378995
10,0.75,1.5,0.773,0.656,453,0.5253863134657837,0.27593818984547464,0.141280353200883,0.05739514348785872
11,0.75,1.5,0.78,0.611,535,0.5158878504672897,0.2635514018691589,0.15140186915887852,0.0691588785046729
12,0.75,1.5,0.753,0.647,495,0.4707070707070707,0.29292929292929293,0.16363636363636364,0.07272727272727272
13,0.75,1.5,0.765,0.661,468,0.47649572649572647,0.30128205128205127,0.14743589743589744,0.07478632478632478
14,0.75,1.5,0.731,0.715,347,0.4322766570605187,0.40634005763688763,0.12103746397694524,0.040345821325648415
15,0.75,1.5,0.753,0.665,433,0.49653579676674364,0.2979214780600462,0.13856812933025403,0.06697459584295612
16,0.75,1.5,0.764,0.543,670,0.4671641791044776,0.23134328358208955,0.15223880597014924,0.14925373134328357
17,0.75,1.5,0.774,0.62,460,0.4891304347826087,0.2847826086956522,0.12608695652173912,0.1
18,0.75,1.5,0.804,0.587,481,0.5446985446985447,0.25363825363825365,0.13305613305613306,0.06860706860706861
19,0.75,1.5,0.738,0.679,500,0.468,0.284,0.194,0.054
20,0.75,1.5,0.725,0.717,390,0.4512820512820513,0.3,0.20512820512820512,0.04358974358974359
21,0.75,1.5,0.782,0.611,580,0.49310344827586206,0.253448275862069,0.16551724137931034,0.08793103448275862
22,0.75,1.5,0.758,0.621,602,0.4435215946843854,0.26411960132890366,0.1744186046511628,0.11794019933554817
23,0.75,1.5,0.776,0.666,503,0.4731610337972167,0.2882703777335984,0.1610337972166998,0.0775347912524851
24,0.75,1.5,0.794,0.587,545,0.5339449541284403,0.25504587155963304,0.12660550458715597,0.08440366972477065
25,0.75,1.5,0.779,0.618,539,0.5009276437847866,0.2727272727272727,0.14842300556586271,0.07792207792207792
26,0.75,1.5,0.75,0.6,591,0.4686971235194585,0.23688663282571912,0.17258883248730963,0.1218274111675127
27,0.75,1.5,0.766,0.638,464,0.49353448275862066,0.2823275862068966,0.12931034482758622,0.09482758620689655
28,0.75,1.5,0.803,0.652,472,0.4894067796610169,0.3432203389830508,0.11864406779661017,0.048728813559322036
29,0.75,1.5,0.727,0.646,555,0.4144144144144144,0.2954954954954955,0.16576576576576577,0.12432432432432433
30,0.75,1.5,0.772,0.637,507,0.4536489151873767,0.3116370808678501,0.14003944773175542,0.09467455621301775
31,0.75,1.5,0.786,0.665,429,0.47785547785547783,0.351981351981352,0.13053613053613053,0.039627039627039624
32,0.75,1.5,0.778,0.581,604,0.48344370860927155,0.25662251655629137,0.15397350993377484,0.10596026490066225
33,0.75,1.5,0.748,0.592,598,0.4866220735785953,0.21070234113712374,0.18394648829431437,0.11872909698996656
34,0.75,1.5,0.769,0.665,428,0.5163551401869159,0.3247663551401869,0.10514018691588785,0.053738317757009345
35,0.75,1.5,0.801,0.566,563,0.49733570159857904,0.25754884547069273,0.12255772646536411,0.12255772646536411
36,0.75,1.5,0.769,0.686,417,0.4676258992805755,0.36211031175059955,0.12949640287769784,0.0407673860911271
37,0.75,1.5,0.794,0.542,574,0.5278745644599303,0.23867595818815332,0.10801393728222997,0.1254355400696864
38,0.75,1.5,0.762,0.625,544,0.4724264705882353,0.30514705882352944,0.13602941176470587,0.08639705882352941
39,0.75,1.5,0.772,0.622,567,0.47619047619047616,0.2716049382716049,0.1728395061728395,0.07936507936507936
0,1.0,1.5,0.735,0.709,435,0.42758620689655175,0.34022988505747126,0.18620689655172415,0.04597701149425287
1,1.0,1.5,0.705,0.725,451,0.3835920177383592,0.3237250554323725,0.21951219512195122,0.07317073170731707
2,1.0,1.5,0.707,0.74,438,0.3926940639269406,0.3515981735159817,0.21689497716894976,0.03881278538812785
3,1.0,1.5,0.766,0.676,529,0.4555765595463138,0.2835538752362949,0.18714555765595464,0.07372400756143667
4,1.0,1.5,0.746,0.697,449,0.49443207126948774,0.2806236080178174,0.18930957683741648,0.035634743875278395
5,1.0,1.5,0.716,0.691,549,0.4335154826958106,0.2677595628415301,0.22404371584699453,0.07468123861566485
6,1.0,1.5,0.737,0.68,513,0.48148148148148145,0.2573099415204678,0.20272904483430798,0.05847953216374269
7,1.0,1.5,0.754,0.656,564,0.4450354609929078,0.2695035460992908,0.1950354609929078,0.09042553191489362
8,1.0,1.5,0.7,0.72,523,0.4149139579349904,0.28680688336520077,0.2390057361376673,0.05927342256214149
9,1.0,1.5,0.757,0.674,546,0.46886446886446886,0.2802197802197802,0.2032967032967033,0.047619047619047616
10,1.0,1.5,0.741,0.718,429,0.44988344988344986,0.3333333333333333,0.18414918414918416,0.03263403263403263
11,1.0,1.5,0.755,0.677,458,0.48253275109170307,0.2903930131004367,0.1812227074235808,0.04585152838427948
12,1.0,1.5,0.712,0.697,525,0.4361904761904762,0.2838095238095238,0.21904761904761905,0.06095238095238095
13,1.0,1.5,0.785,0.63,503,0.5069582504970179,0.27037773359840955,0.15109343936381708,0.07157057654075547
14,1.0,1.5,0.687,0.761,422,0.3862559241706161,0.36018957345971564,0.22985781990521326,0.023696682464454975
15,1.0,1.5,0.694,0.773,495,0.35555555555555557,0.36363636363636365,0.2383838383838384,0.04242424242424243
16,1.0,1.5,0.706,0.764,394,0.350253807106599,0.39593908629441626,0.22081218274111675,0.03299492385786802
17,1.0,1.5,0.739,0.69,498,0.43172690763052207,0.3072289156626506,0.18473895582329317,0.07630522088353414
18,1.0,1.5,0.738,0.693,501,0.4311377245508982,0.2874251497005988,0.21956087824351297,0.06187624750499002
19,1.0,1.5,0.698,0.778,384,0.375,0.4088541666666667,0.20052083333333334,0.015625
20,1.0,1.5,0.739,0.675,573,0.43106457242582896,0.28970331588132636,0.20418848167539266,0.07504363001745201
21,1.0,1.5,0.765,0.681,468,0.43162393162393164,0.32905982905982906,0.17094017094017094,0.06837606837606838
22,1.0,1.5,0.752,0.648,582,0.44501718213058417,0.2508591065292096,0.19072164948453607,0.1134020618556701
23,1.0,1.5,0.729,0.695,432,0.45601851851851855,0.3194444444444444,0.16435185185185186,0.06018518518518518
24,1.0,1.5,0.746,0.684,498,0.4678714859437751,0.2931726907630522,0.178714859437751,0.060240963855421686
25,1.0,1.5,0.679,0.767,459,0.355119825708061,0.3224400871459695,0.27233115468409586,0.05010893246187364
26,1.0,1.5,0.715,0.727,448,0.41964285714285715,0.29910714285714285,0.22767857142857142,0.05357142857142857
27,1.0,1.5,0.743,0.694,491,0.4460285132382892,0.3136456211812627,0.18737270875763748,0.05295315682281059
28,1.0,1.5,0.715,0.723,472,0.4343220338983051,0.3029661016949153,0.2288135593220339,0.03389830508474576
29,1.0,1.5,0.72,0.666,588,0.4557823129251701,0.24829931972789115,0.20578231292517007,0.09013605442176871
30,1.0,1.5,0.72,0.723,480,0.46458333333333335,0.29375,0.20625,0.035416666666666666
31,1.0,1.5,0.72,0.732,387,0.4082687338501292,0.3798449612403101,0.17829457364341086,0.03359173126614987
32,1.0,1.5,0.769,0.693,533,0.4146341463414634,0.3545966228893058,0.1669793621013133,0.06378986866791744
33,1.0,1.5,0.688,0.78,422,0.3578199052132701,0.3459715639810427,0.24881516587677724,0.04739336492890995
34,1.0,1.5,0.715,0.67,591,0.4077834179357022,0.26057529610829105,0.2470389170896785,0.08460236886632826
35,1.0,1.5,0.704,0.742,494,0.4089068825910931,0.31376518218623484,0.22469635627530365,0.05263157894736842
36,1.0,1.5,0.707,0.743,504,0.4027777777777778,0.2896825396825397,0.25,0.057539682539682536
37,1.0,1.5,0.734,0.709,498,0.42168674698795183,0.3232931726907631,0.19879518072289157,0.05622489959839357
38,1.0,1.5,0.755,0.671,512,0.47265625,0.2578125,0.19921875,0.0703125
39,1.0,1.5,0.725,0.689,543,0.44751381215469616,0.2541436464088398,0.2302025782688766,0.06813996316758748
0,1.25,1.5,0.638,0.844,427,0.297423887587822,0.3442622950819672,0.3325526932084309,0.02576112412177986
1,1.25,1.5,0.651,0.865,427,0.28337236533957844,0.37236533957845436,0.3325526932084309,0.0117096018735363
2,1.25,1.5,0.682,0.796,447,0.348993288590604,0.38478747203579416,0.22818791946308725,0.03803131991051454
3,1.25,1.5,0.667,0.783,495,0.3434343434343434,0.33131313131313134,0.26666666666666666,0.05858585858585859
4,1.25,1.5,0.655,0.823,408,0.34558823529411764,0.3431372549019608,0.29411764705882354,0.01715686274509804
5,1.25,1.5,0.675,0.831,416,0.34375,0.38461538461538464,0.25721153846153844,0.014423076923076924
6,1.25,1.5,0.666,0.783,472,0.3580508474576271,0.3156779661016949,0.2648305084745763,0.0614406779661017
7,1.25,1.5,0.632,0.817,402,0.3407960199004975,0.34328358208955223,0.2885572139303483,0.02736318407960199
8,1.25,1.5,0.712,0.72,527,0.4269449715370019,0.2713472485768501,0.2656546489563567,0.036053130929791274
9,1.25,1.5,0.643,0.834,412,0.3131067961165049,0.32524271844660196,0.33737864077669905,0.024271844660194174
10,1.25,1.5,0.616,0.83,418,0.3062200956937799,0.34688995215311,0.31100478468899523,0.03588516746411483
11,1.25,1.5,0.687,0.767,409,0.3863080684596577,0.34474327628361856,0.24205378973105135,0.02689486552567237
12,1.25,1.5,0.673,0.793,453,0.3730684326710817,0.282560706401766,0.31125827814569534,0.033112582781456956
13,1.25,1.5,0.657,0.81,406,0.33251231527093594,0.3694581280788177,0.26354679802955666,0.034482758620689655
14,1.25,1.5,0.681,0.79,420,0.3619047619047619,0.3476190476190476,0.2619047619047619,0.02857142857142857
15,1.25,1.5,0.682,0.785,408,0.36764705882352944,0.3553921568627451,0.24509803921568626,0.031862745098039214
16,1.25,1.5,0.651,0.836,449,0.30957683741648107,0.35634743875278396,0.3028953229398664,0.031180400890868598
17,1.25,1.5,0.672,0.782,445,0.3797752808988764,0.3393258426966292,0.24719101123595505,0.033707865168539325
18,1.25,1.5,0.688,0.727,547,0.3875685557586837,0.28153564899451555,0.25411334552102377,0.07678244972577697
19,1.25,1.5,0.692,0.708,560,0.4017857142857143,0.2642857142857143,0.24107142857142858,0.09285714285714286
20,1.25,1.5,0.637,0.809,408,0.3627450980392157,0.29411764705882354,0.29901960784313725,0.04411764705882353
21,1.25,1.5,0.716,0.762,481,0.3887733887733888,0.316008316008316,0.25363825363825365,0.04158004158004158
22,1.25,1.5,0.606,0.823,456,0.3355263157894737,0.29605263157894735,0.34210526315789475,0.02631578947368421
23,1.25,1.5,0.674,0.826,390,0.28205128205128205,0.4358974358974359,0.2512820512820513,0.03076923076923077
24,1.25,1.5,0.705,0.776,406,0.3793103448275862,0.3522167487684729,0.23399014778325122,0.034482758620689655
25,1.25,1.5,0.679,0.787,417,0.3669064748201439,0.3501199040767386,0.2565947242206235,0.026378896882494004
26,1.25,1.5,0.503,1.0,284,0.0,0.426056338028169,0.573943661971831,0.0
27,1.25,1.5,0.595,0.874,366,0.27049180327868855,0.366120218579235,0.3442622950819672,0.01912568306010929
28,1.25,1.5,0.656,0.779,447,0.3713646532438479,0.31543624161073824,0.27069351230425054,0.042505592841163314
29,1.25,1.5,0.623,0.83,368,0.29347826086956524,0.358695652173913,0.32065217391304346,0.02717391304347826
30,1.25,1.5,0.704,0.762,447,0.407158836689038,0.3288590604026846,0.22818791946308725,0.035794183445190156
31,1.25,1.5,0.719,0.717,550,0.42363636363636364,0.27636363636363637,0.2381818181818182,0.06181818181818182
32,1.25,1.5,0.637,0.83,304,0.28289473684210525,0.4342105263157895,0.26973684210526316,0.013157894736842105
33,1.25,1.5,0.687,0.78,459,0.3681917211328976,0.3006535947712418,0.28540305010893247,0.0457516339869281
34,1.25,1.5,0.512,0.988,292,0.0,0.523972602739726,0.476027397260274,0.0
35,1.25,1.5,0.658,0.805,448,0.31919642857142855,0.3392857142857143,0.3013392857142857,0.04017857142857143
36,1.25,1.5,0.634,0.795,494,0.33805668016194335,0.30364372469635625,0.2894736842105263,0.06882591093117409
37,1.25,1.5,0.6,0.877,327,0.20489296636085627,0.45565749235474007,0.3211009174311927,0.01834862385321101
38,1.25,1.5,0.579,0.92,355,0.16056338028169015,0.4422535211267606,0.38873239436619716,0.008450704225352112
39,1.25,1.5,0.679,0.761,476,0.3907563025210084,0.28781512605042014,0.26260504201680673,0.058823529411764705
0,1.5,1.5,0.504,0.999,311,0.003215434083601286,0.5048231511254019,0.4919614147909968,0.0
1,1.5,1.5,0.572,0.938,333,0.11711711711711711,0.5165165165165165,0.3633633633633634,0.003003003003003003
2,1.5,1.5,0.501,1.0,287,0.0,0.47735191637630664,0.5226480836236934,0.0
3,1.5,1.5,0.634,0.85,460,0.2543478260869565,0.40217391304347827,0.30869565217391304,0.034782608695652174
4,1.5,1.5,0.506,0.996,295,0.0,0.488135593220339,0.511864406779661,0.0
5,1.5,1.5,0.511,0.999,297,0.0,0.5050505050505051,0.494949494949495,0.0
6,1.5,1.5,0.559,0.943,349,0.12893982808022922,0.46418338108882523,0.3954154727793696,0.011461318051575931
7,1.5,1.5,0.517,0.997,296,0.006756756756756757,0.5675675675675675,0.42567567567567566,0.0
8,1.5,1.5,0.519,0.99,313,0.02875399361022364,0.4984025559105431,0.4728434504792332,0.0
