repeat,renal_effect_sd,heart_failure_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy__uncomplicated,false_atrial__uncomplicated,mean_posterior_entropy__uncomplicated,subgroup_size__uncomplicated,competing_subgroup_size__uncomplicated,accuracy__renal_only,false_atrial__renal_only,mean_posterior_entropy__renal_only,subgroup_size__renal_only,competing_subgroup_size__renal_only,accuracy__heart_failure_only,false_atrial__heart_failure_only,mean_posterior_entropy__heart_failure_only,subgroup_size__heart_failure_only,competing_subgroup_size__heart_failure_only,accuracy__redundant,false_atrial__redundant,mean_posterior_entropy__redundant,subgroup_size__redundant,competing_subgroup_size__redundant
8,1.5,0.5,Logistic regression (+ kidney status),0.818,0.4039003573885957,0.16352201257861634,0.12527226767130803,0.04608560712368228,0.3814059817986829,0.529,159,0.8062015503875969,0.22935779816513763,0.39191561538336267,645,327,0.8601398601398601,0.152317880794702,0.35962996331871455,286,151,0.7450980392156863,0.4074074074074074,0.38097122770698105,51,27,0.7777777777777778,0.375,0.3520393196780896,18,8
8,1.5,0.5,Logistic regression (+ kidney + heart failure),0.826,0.4245289701853793,0.15723270440251572,0.12447116458850599,0.03783940132157287,0.38092289947378766,0.529,159,0.8077519379844961,0.2324159021406728,0.39001989481736266,645,327,0.8706293706293706,0.152317880794702,0.3584007896905488,286,151,0.8235294117647058,0.25925925925925924,0.39215657777723917,51,27,0.7777777777777778,0.25,0.3809697776918076,18,8
8,1.5,0.5,Supervised two-path SCM (posterior),0.825,0.4219224098698919,0.16352201257861634,0.12469727919597215,0.040084437942836525,0.38087476480450033,0.53,159,0.8077519379844961,0.2324159021406728,0.39004093004105045,645,327,0.8706293706293706,0.152317880794702,0.3587435096454687,286,151,0.8235294117647058,0.25925925925925924,0.3907140821397343,51,27,0.7222222222222222,0.375,0.37618349890512903,18,8
8,1.5,0.5,Supervised two-path SCM (counterfactual query),0.819,0.406450778802978,0.15723270440251572,0.14674660601100697,0.12108626936751053,0.12811261969208995,0.526,159,0.8062015503875969,0.23547400611620795,0.1320315264567907,645,327,0.8531468531468531,0.152317880794702,0.11668030178090097,286,151,0.803921568627451,0.2962962962962963,0.14509086934606333,51,27,0.7777777777777778,0.25,0.12122691563739063,18,8
9,1.5,0.5,Logistic regression (biomarkers only),0.801,0.36176515913886614,0.35668789808917195,0.13627590310460191,0.020309393950422465,0.4222370413474483,0.498,157,0.8227848101265823,0.12111801242236025,0.42017828352243247,632,322,0.756578947368421,0.3509933774834437,0.43060524432360797,304,151,0.7906976744186046,0.20833333333333334,0.4131445085703982,43,24,0.8095238095238095,0.5,0.38167419135080705,21,6
9,1.5,0.5,Logistic regression (+ kidney status),0.822,0.41414958652269945,0.21019108280254778,0.12361714561961094,0.02106228891848202,0.39409700379965956,0.499,157,0.8370253164556962,0.15838509316770186,0.3897805969851995,632,322,0.7927631578947368,0.1986754966887417,0.40182960702694304,304,151,0.813953488372093,0.25,0.38916719834655905,43,24,0.8095238095238095,0.5,0.4221560209486063,21,6
9,1.5,0.5,Logistic regression (+ kidney + heart failure),0.824,0.41932281851869624,0.19745222929936307,0.12361669270902532,0.021483056924810572,0.392314317684676,0.495,157,0.8401898734177216,0.16149068322981366,0.38726152573233663,632,322,0.7960526315789473,0.1986754966887417,0.39983239950271354,304,151,0.7906976744186046,0.16666666666666666,0.3877687067764281,43,24,0.8095238095238095,0.16666666666666666,0.44485378960133026,21,6
9,1.5,0.5,Supervised two-path SCM (posterior),0.822,0.4141496951738587,0.20382165605095542,0.12367587907378333,0.023497636895094345,0.37825594387695993,0.493,157,0.8386075949367089,0.15838509316770186,0.3730168465415825,632,322,0.7927631578947368,0.2052980132450331,0.38585398823222106,304,151,0.7906976744186046,0.16666666666666666,0.3755658507991873,43,24,0.8095238095238095,0.16666666666666666,0.431445374081882,21,6
9,1.5,0.5,Supervised two-path SCM (counterfactual query),0.821,0.41157523454897904,0.19745222929936307,0.1538294361756161,0.12356756760156347,0.12149770953327711,0.49,157,0.8370253164556962,0.15838509316770186,0.11855886420935585,632,322,0.7927631578947368,0.1986754966887417,0.11516054553285837,304,151,0.7906976744186046,0.16666666666666666,0.15724878501118134,43,24,0.8095238095238095,0.16666666666666666,0.22847636930926107,21,6
10,1.5,0.5,Logistic regression (biomarkers only),0.796,0.34981381719113025,0.391304347826087,0.14049729287831486,0.031084541435165904,0.40888482718113967,0.516,138,0.7947932618683001,0.13522012578616352,0.42229809279882613,653,318,0.7849462365591398,0.3984375,0.3889848847233193,279,128,0.851063829787234,0.2,0.39339046096953734,47,30,0.8571428571428571,0.3,0.2908589561967558,21,10
