shift_index,shift,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
1,Mild shift,Pooled associative latent class model,expected_calibration_error,10,0.03822876150442191,0.01743469282767235,0.005513333964084614,0.025756733586361116,0.0507007894224827,0.02004104643369013,0.07443158010346
1,Mild shift,Pooled associative latent class model,mean_posterior_entropy,10,0.43033948225306046,0.0135281162664597,0.004277965985358597,0.42066205085683533,0.4400169136492856,0.41438264783265627,0.45340070925889214
1,Mild shift,Pooled associative latent class model,predicted_atrial_prevalence,10,0.5094000000000001,0.0493540497043781,0.015607120881899467,0.4740942397054814,0.5447057602945188,0.42255,0.5576500000000001
1,Mild shift,Pooled associative latent class model,accuracy_complete_case,10,0.7971580265381895,0.020697847915216006,0.006545234207585023,0.7823516780929434,0.8119643749834355,0.7612859883100197,0.8268304945054945
1,Mild shift,Pooled associative latent class model,accuracy_any_missing,10,0.7550733918347652,0.024357954349796058,0.007702661488776127,0.7376487609748898,0.7724980226946405,0.7125589526752317,0.7869456790123457
1,Mild shift,Pooled associative latent class model,accuracy_electrical_missing,10,0.7633462455333181,0.0313367232998727,0.009909542003406538,0.7409293041097085,0.7857631869569277,0.7214748319396622,0.8022854810733598
1,Mild shift,Pooled associative latent class model,biomarker_missing_fraction,10,0.09483333333333334,0.00560257877132387,0.001771690968789108,0.09082548991792314,0.09884117674874354,0.08530833333333333,0.1028
1,Mild shift,Pooled associative latent class model,all_biomarkers_missing_rate,10,0.0008,0.0013165611772087667,0.00041633319989322655,-0.0001418111302724297,0.0017418111302724298,0.0,0.0035500000000000006
1,Mild shift,Target-calibrated associative latent model,accuracy,10,0.7996000000000001,0.008194849330863582,0.0025914388967435693,0.7937377579376329,0.8054622420623673,0.788575,0.8131999999999999
1,Mild shift,Target-calibrated associative latent model,adjusted_rand_index,10,0.35863191053546856,0.019761345977919266,0.006249086292083234,0.3444954952185391,0.372768325852398,0.3324506304116025,0.391778179692138
1,Mild shift,Target-calibrated associative latent model,false_atrial_renal_competing,10,0.16742643996683576,0.06672279889446679,0.021099601636787976,0.11969582499080778,0.21515705494286375,0.08576907252850594,0.29319447608921295
1,Mild shift,Target-calibrated associative latent model,brier_score,10,0.13918259435300173,0.006470931252782547,0.002046288134115963,0.13455356899314797,0.1438116197128555,0.12919347423661828,0.1488574689696765
1,Mild shift,Target-calibrated associative latent model,expected_calibration_error,10,0.04448894958097595,0.024097903399914328,0.007620426157844471,0.02725034796400734,0.061727551197944555,0.01851361709779476,0.0910887611431071
1,Mild shift,Target-calibrated associative latent model,mean_posterior_entropy,10,0.4078740616368302,0.012323006169671837,0.0038968767116470356,0.39905871407081855,0.41668940920284187,0.390262678792481,0.4256891969216798
1,Mild shift,Target-calibrated associative latent model,predicted_atrial_prevalence,10,0.4943000000000001,0.05556987593211912,0.01757273772384688,0.45454770548704343,0.5340522945129568,0.4289,0.5719
1,Mild shift,Target-calibrated associative latent model,accuracy_complete_case,10,0.8111662026782834,0.013509945112722879,0.0042722197620064534,0.8015017701423737,0.8208306352141932,0.7924139207700851,0.830060070703083
1,Mild shift,Target-calibrated associative latent model,accuracy_any_missing,10,0.7666711322760843,0.02326551063436986,0.007357200453147766,0.7500279885724427,0.7833142759797259,0.7324175824175824,0.8010703703703704
1,Mild shift,Target-calibrated associative latent model,accuracy_electrical_missing,10,0.7715655761960802,0.03179379290003236,0.010054080101979236,0.7488216668774791,0.7943094855146814,0.731619937694704,0.8319822557122022
1,Mild shift,Target-calibrated associative latent model,biomarker_missing_fraction,10,0.09483333333333334,0.00560257877132387,0.001771690968789108,0.09082548991792314,0.09884117674874354,0.08530833333333333,0.1028
