repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
29,0.0,Biologically constrained latent SCM,True,17,1,-3700.6320223577745,0.4953909778896358,2.0511243394276097
30,0.0,Associative latent class model,True,42,3,-4160.66281993221,0.4265813341748843,1.9012721558948344
30,0.0,Renal-adjusted associative latent class model,True,61,3,-3663.6599498178684,0.3954660077388945,1.9553796547287274
30,0.0,Biologically constrained latent SCM,True,43,1,-3664.6208502117024,0.4056955034135937,1.9234215972229705
31,0.0,Associative latent class model,True,21,0,-4078.080540325653,0.47450395969596537,1.920643856116162
31,0.0,Renal-adjusted associative latent class model,True,25,3,-3606.00625526797,0.47164401034625525,1.9243248489457239
31,0.0,Biologically constrained latent SCM,True,22,0,-3607.5189486795034,0.4745482854811982,1.9178383764561493
32,0.0,Associative latent class model,True,17,1,-4161.184791557915,0.47795357073248185,2.1201660395420294
32,0.0,Renal-adjusted associative latent class model,True,33,0,-3662.6608822069356,0.4610714755092517,2.1331791941761677
32,0.0,Biologically constrained latent SCM,True,18,1,-3664.941900575791,0.47560247036429315,2.1232207260740097
33,0.0,Associative latent class model,True,31,3,-4201.012875746076,0.43117189357544783,1.7690456067374876
33,0.0,Renal-adjusted associative latent class model,True,35,0,-3715.0887524622904,0.4308474894858996,1.7763505666215198
33,0.0,Biologically constrained latent SCM,True,43,2,-3715.3057632827804,0.4093268239845512,1.7689972393020952
34,0.0,Associative latent class model,True,22,1,-4168.491689645802,0.48789063537487565,2.153823275128854
34,0.0,Renal-adjusted associative latent class model,True,20,3,-3664.362551845949,0.4903729973884347,2.1517394060894257
34,0.0,Biologically constrained latent SCM,True,16,3,-3665.43831308239,0.4919787779020254,2.1240050891467988
35,0.0,Associative latent class model,True,19,1,-4127.757889735537,0.49418623855451643,1.7152563413748285
35,0.0,Renal-adjusted associative latent class model,True,27,3,-3628.194374945383,0.4772189038888425,1.835414086134498
35,0.0,Biologically constrained latent SCM,True,24,3,-3629.110071968497,0.4903209796797637,1.7557922631802017
36,0.0,Associative latent class model,True,27,1,-4135.21887647354,0.44060473989323556,1.9464956109886917
36,0.0,Renal-adjusted associative latent class model,True,27,3,-3666.01509764441,0.45439263187500883,1.9427645817306192
36,0.0,Biologically constrained latent SCM,True,26,1,-3666.2560654293075,0.44549041203116246,1.914967031838801
37,0.0,Associative latent class model,True,34,2,-4117.562473850752,0.4367158203306363,2.3123418547380123
37,0.0,Renal-adjusted associative latent class model,True,29,3,-3639.520850978956,0.4476057707144648,2.2831058469955985
37,0.0,Biologically constrained latent SCM,True,31,2,-3639.729509250159,0.43796422903876076,2.29876943929746
38,0.0,Associative latent class model,True,16,0,-4139.027558027687,0.47310909894823167,2.2665564137293224
38,0.0,Renal-adjusted associative latent class model,True,17,0,-3663.4095728123143,0.47391636063278947,2.2604808495732254
38,0.0,Biologically constrained latent SCM,True,16,0,-3664.1103938171022,0.4753070757083979,2.2591661929780122
39,0.0,Associative latent class model,True,24,0,-4090.9082404181386,0.4535613863078927,1.8137283157017259
39,0.0,Renal-adjusted associative latent class model,True,35,3,-3592.2408767995666,0.4396956291657844,1.8836169114601793
39,0.0,Biologically constrained latent SCM,True,26,0,-3592.3803066716055,0.4395366250378332,1.8819566128530116
40,0.0,Associative latent class model,True,20,3,-4168.048768086397,0.45913387948916423,2.4091002514461968
40,0.0,Renal-adjusted associative latent class model,True,26,0,-3675.3771655541805,0.4561255396528808,2.4202706201829303
40,0.0,Biologically constrained latent SCM,True,22,3,-3676.053137038961,0.4601802096911193,2.4083026914581174
41,0.0,Associative latent class model,True,17,1,-4099.286148727813,0.46973535600431654,2.042376478135826
41,0.0,Renal-adjusted associative latent class model,True,18,1,-3614.0631065132684,0.4706148511885565,2.0581249410835567
41,0.0,Biologically constrained latent SCM,True,17,1,-3614.2700408891506,0.47135985712573786,2.057837595694674
42,0.0,Associative latent class model,True,13,3,-4116.2298700097235,0.4801199542443111,2.2321539117687728
42,0.0,Renal-adjusted associative latent class model,True,21,1,-3637.057753777892,0.47909484681888054,2.214957860706864
42,0.0,Biologically constrained latent SCM,True,21,1,-3637.159644069253,0.47980134799023993,2.215511894087384
