renal_effect_sd,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
1.0,Biologically constrained latent SCM,accuracy,0.8205339999999999,0.8193693405117801,0.8216986594882196,0.0005927836645403536,500
1.0,Biologically constrained latent SCM,adjusted_rand_index,0.4110797843406116,0.4080973750208708,0.4140621936603524,0.00151797460424897,500
1.0,Biologically constrained latent SCM,false_atrial_renal_competing,0.18262854932439013,0.176575309052725,0.18868178959605525,0.003080953692366854,500
1.0,Biologically constrained latent SCM,brier_score,0.12627241463968658,0.12557152691906076,0.1269733023603124,0.0003567349904983545,500
1.0,Biologically constrained latent SCM,expected_calibration_error,0.04484619520880453,0.04292555917455136,0.046766831243057694,0.0009775575420529876,500
1.0,Biologically constrained latent SCM,mean_posterior_entropy,0.3727462107692142,0.37107372538511263,0.3744186961533158,0.0008512548301936104,500
1.0,Biologically constrained latent SCM,predicted_atrial_prevalence,0.5050500000000001,0.5005207897261621,0.5095792102738381,0.0023052590828099464,500
1.0,Data-generating oracle (reference),accuracy,0.828452,0.8274469131316068,0.8294570868683931,0.0005115650394418661,500
1.0,Data-generating oracle (reference),adjusted_rand_index,0.43147627186972864,0.4288368127533364,0.4341157309861209,0.0013434212001406291,500
1.0,Data-generating oracle (reference),false_atrial_renal_competing,0.17063853135348206,0.16785295587673613,0.173424106830228,0.0014177909128471088,500
1.0,Data-generating oracle (reference),brier_score,0.12129158905945481,0.12073920279018571,0.1218439753287239,0.00028115132384283004,500
1.0,Data-generating oracle (reference),expected_calibration_error,0.027715389419944402,0.027117942192271295,0.02831283664761751,0.0003040862677647282,500
1.0,Data-generating oracle (reference),mean_posterior_entropy,0.3819802586095371,0.38136567376107006,0.38259484345800415,0.0003128089045169145,500
1.0,Data-generating oracle (reference),predicted_atrial_prevalence,0.500912,0.4995627361364647,0.5022612638635353,0.0006867428510636093,500
1.5,Associative latent class model,accuracy,0.578534,0.573334323075386,0.583733676924614,0.002646510480509551,500
1.5,Associative latent class model,adjusted_rand_index,0.03767189326474296,0.03428325051362333,0.04106053601586259,0.0017247376491966494,500
1.5,Associative latent class model,false_atrial_renal_competing,0.7599386675617749,0.7322889544493769,0.7875883806741728,0.014073038882213965,500
1.5,Associative latent class model,brier_score,0.3480598379781476,0.3408815636122498,0.3552381123440454,0.0036535689845253023,500
1.5,Associative latent class model,expected_calibration_error,0.34310891969089513,0.3351311670572058,0.35108667232458446,0.004060484192013297,500
1.5,Associative latent class model,mean_posterior_entropy,0.21771900670689215,0.21091440081115512,0.22452361260262918,0.00346338072151319,500
1.5,Associative latent class model,predicted_atrial_prevalence,0.41247,0.40119045438442547,0.42374954561557454,0.005741017397772196,500
1.5,Renal-adjusted associative latent class model,accuracy,0.816398,0.8150280162786476,0.8177679837213523,0.0006972887602926488,500
1.5,Renal-adjusted associative latent class model,adjusted_rand_index,0.4007992454198201,0.39736577503927983,0.40423271580036035,0.0017475538342785588,500
1.5,Renal-adjusted associative latent class model,false_atrial_renal_competing,0.19748370620619982,0.18839320869525347,0.20657420371714616,0.004626844568338524,500
1.5,Renal-adjusted associative latent class model,brier_score,0.1289303985337228,0.12809875363149817,0.1297620434359474,0.0004232872506714779,500
1.5,Renal-adjusted associative latent class model,expected_calibration_error,0.04672182362407512,0.044852826265447406,0.048590820982702836,0.0009512746982871659,500
1.5,Renal-adjusted associative latent class model,mean_posterior_entropy,0.3703883136715777,0.3686021467910757,0.3721744805520797,0.0009091159773428449,500
1.5,Renal-adjusted associative latent class model,predicted_atrial_prevalence,0.501306,0.4969945511061917,0.5056174488938083,0.002194423778452758,500
1.5,Biologically constrained latent SCM,accuracy,0.8193619999999999,0.8180808875611475,0.8206431124388524,0.0006520554152286878,500
1.5,Biologically constrained latent SCM,adjusted_rand_index,0.4082231202399964,0.40495764744643753,0.4114885930335553,0.0016620471035542236,500
1.5,Biologically constrained latent SCM,false_atrial_renal_competing,0.1851483000668971,0.17921075653398932,0.19108584359980485,0.0030220668353329663,500
1.5,Biologically constrained latent SCM,brier_score,0.12670225422120085,0.12595527162388073,0.12744923681852097,0.0003801961739599286,500
1.5,Biologically constrained latent SCM,expected_calibration_error,0.04501806357907482,0.04308556548000661,0.04695056167814303,0.0009835950477112506,500
1.5,Biologically constrained latent SCM,mean_posterior_entropy,0.3733430816386956,0.37157787448256335,0.3751082887948279,0.0008984479818082713,500
1.5,Biologically constrained latent SCM,predicted_atrial_prevalence,0.500602,0.49623419683900155,0.5049698031609985,0.0022231067448951697,500
1.5,Data-generating oracle (reference),accuracy,0.8270299999999999,0.8259249433836715,0.8281350566163284,0.0005624472364476285,500
1.5,Data-generating oracle (reference),adjusted_rand_index,0.42785317891114594,0.4249682183285688,0.4307381394937231,0.001468375541085025,500
1.5,Data-generating oracle (reference),false_atrial_renal_competing,0.17347523818192548,0.17071709127850943,0.17623338508534153,0.0014038304287948458,500
1.5,Data-generating oracle (reference),brier_score,0.12158300822192189,0.12099032244442745,0.12217569399941633,0.0003016628041567058,500
1.5,Data-generating oracle (reference),expected_calibration_error,0.027910990157986704,0.027325399823276045,0.028496580492697363,0.00029805139445503116,500
1.5,Data-generating oracle (reference),mean_posterior_entropy,0.3823708266848463,0.38173823719254296,0.3830034161771496,0.0003219728351420988,500
1.5,Data-generating oracle (reference),predicted_atrial_prevalence,0.50095,0.4994849506004256,0.5024150493995745,0.0007456749037779461,500
