repeat,method,renal_effect_sd,bic_k1,bic_k2,delta_bic_k2_minus_k1,selected_k2,k2_converged,k2_minimum_effective_class_fraction
252,Biologically constrained latent SCM,1.5,6799.633156787337,6824.0339640174925,24.400807230155806,False,True,0.3977078306274685
253,Associative latent class model,1.5,8062.435543441968,7791.789167806562,-270.646375635406,True,True,0.3174124984114631
253,Renal-adjusted associative latent class model,1.5,6778.118793617474,6810.959800058448,32.841006440974525,False,True,0.44768929659229456
253,Biologically constrained latent SCM,1.5,6766.96876484341,6798.126582518085,31.157817674675243,False,True,0.3659644790348859
254,Associative latent class model,1.5,8208.19686077389,7915.364271795795,-292.8325889780963,True,True,0.31255311732706326
254,Renal-adjusted associative latent class model,1.5,6904.756493535817,6933.217149209493,28.46065567367623,False,True,0.47627102632207313
254,Biologically constrained latent SCM,1.5,6892.536338528461,6922.67002142639,30.133682897929248,False,True,0.42882017298401115
255,Associative latent class model,1.5,8155.244457913216,7907.985379478783,-247.25907843443292,True,True,0.28941751745455624
255,Renal-adjusted associative latent class model,1.5,6931.902858858311,6949.719446350924,17.816587492612598,False,True,0.2916035076705069
255,Biologically constrained latent SCM,1.5,6918.798285137943,6946.386404900222,27.588119762279348,False,True,0.4886378675849448
256,Associative latent class model,1.5,8120.331664723404,7807.95826613153,-312.3733985918743,True,True,0.28068296519319075
256,Renal-adjusted associative latent class model,1.5,6838.214089691689,6866.477276154177,28.263186462488193,False,True,0.4047606854382205
256,Biologically constrained latent SCM,1.5,6832.34459717629,6858.455635553699,26.111038377408477,False,True,0.47816269418696933
257,Associative latent class model,1.5,8099.0159496012575,7793.176789937195,-305.8391596640622,True,True,0.32970149364934737
257,Renal-adjusted associative latent class model,1.5,6792.457535627803,6820.112700685237,27.655165057433805,False,True,0.3708818333956888
257,Biologically constrained latent SCM,1.5,6779.119979880753,6810.584156889229,31.464177008476327,False,True,0.4984351513593478
258,Associative latent class model,1.5,8133.504334499609,7868.818755671615,-264.6855788279945,True,True,0.28803185852881197
258,Renal-adjusted associative latent class model,1.5,6908.530683749079,6932.086374541394,23.555690792315545,False,True,0.4491035245536612
258,Biologically constrained latent SCM,1.5,6897.805282897087,6920.836736923513,23.031454026426218,False,True,0.47162700373420674
259,Associative latent class model,1.5,8207.497595297902,7864.861310432019,-342.63628486588277,True,True,0.3122903052788468
259,Renal-adjusted associative latent class model,1.5,6875.726634641969,6893.663927429457,17.937292787487422,False,True,0.257809613311379
259,Biologically constrained latent SCM,1.5,6866.516826993262,6887.562478527483,21.04565153422118,False,True,0.3467483794153838
260,Associative latent class model,1.5,8180.620800715689,7883.349430025959,-297.27137068973025,True,True,0.35159105567701593
260,Renal-adjusted associative latent class model,1.5,6875.282544454085,6898.787218053341,23.50467359925642,False,True,0.46160671268132913
260,Biologically constrained latent SCM,1.5,6863.553923652004,6887.422282265155,23.86835861315103,False,True,0.45392749974124774
261,Associative latent class model,1.5,8003.716128005848,7732.671402689297,-271.0447253165512,True,True,0.313661861323148
261,Renal-adjusted associative latent class model,1.5,6712.459518021758,6742.711392766823,30.251874745064924,False,True,0.3920680384190027
261,Biologically constrained latent SCM,1.5,6700.842119830601,6730.548377417216,29.70625758661481,False,True,0.4932636769568072
262,Associative latent class model,1.5,8041.478939137775,7808.519894293489,-232.95904484428593,True,True,0.31977558766307884
262,Renal-adjusted associative latent class model,1.5,6807.469759471442,6838.495309444182,31.02554997274001,False,True,0.4873109724394867
262,Biologically constrained latent SCM,1.5,6799.212573189461,6826.730089077082,27.517515887620903,False,True,0.4120088001235965
263,Associative latent class model,1.5,8126.83598034166,7846.322742517232,-280.51323782442796,True,True,0.29196401089234686
263,Renal-adjusted associative latent class model,1.5,6882.466715347769,6911.1387202738115,28.672004926042064,False,True,0.42473373230983924
263,Biologically constrained latent SCM,1.5,6872.283130519444,6897.313247119269,25.030116599825305,False,True,0.4046847521790877
264,Associative latent class model,1.5,8192.440104119441,7940.03761272171,-252.40249139773186,True,True,0.3402230359330081
264,Renal-adjusted associative latent class model,1.5,6901.168375573522,6927.611309977742,26.44293440422007,False,True,0.4929277630253805
264,Biologically constrained latent SCM,1.5,6888.677568854631,6915.224881959953,26.547313105321336,False,True,0.49003117399552565
265,Associative latent class model,1.5,7952.064261064672,7664.037458981238,-288.0268020834337,True,True,0.33564735580996824
265,Renal-adjusted associative latent class model,1.5,6642.122130275577,6673.340752294196,31.2186220186195,False,True,0.49507625682423095
265,Biologically constrained latent SCM,1.5,6629.498266746496,6660.245315679958,30.747048933462793,False,True,0.4958056330429105
266,Associative latent class model,1.5,8064.636270669436,7782.006490641135,-282.62978002830096,True,True,0.27770557075164864
266,Renal-adjusted associative latent class model,1.5,6810.213272548142,6838.707665877261,28.494393329118793,False,True,0.4883838629081971
266,Biologically constrained latent SCM,1.5,6797.185420154744,6825.89124306374,28.705822908996197,False,True,0.4928566687942116
267,Associative latent class model,1.5,8249.25590944514,7928.777476666199,-320.4784327789421,True,True,0.31383084978073716
267,Renal-adjusted associative latent class model,1.5,6908.61650185398,6936.610770845951,27.994268991971694,False,True,0.4012767883485393
267,Biologically constrained latent SCM,1.5,6896.419360793389,6923.8435983789295,27.42423758554014,False,True,0.4081595622838361
268,Associative latent class model,1.5,8293.75962805697,8056.354448627363,-237.40517942960741,True,True,0.3039228307938494
