repeat,truth_k,selected_k,select_k2,bic_k1,bic_k2,bic_k2_minus_k1,minimum_k2_weight,k2_converged,k2_iterations
43,1,1,False,8524.369315481126,8557.427670870473,33.058355389346616,0.4130376777912394,True,47
44,1,1,False,8488.658630426718,8530.95022156535,42.2915911386317,0.49858084738222097,True,16
45,1,1,False,8568.342937693324,8608.23558479553,39.892647102205956,0.49714484390911623,True,11
46,1,1,False,8605.908900396129,8649.193022462108,43.28412206597932,0.49409768382757135,True,12
47,1,1,False,8699.58312004053,8741.36381674291,41.78069670238074,0.4947210776763818,True,16
48,1,1,False,8634.112322862127,8672.172222788271,38.05989992614377,0.45700031329904967,True,50
49,1,1,False,8488.529093987465,8529.366466988085,40.83737300062057,0.4858352607714187,True,25
50,1,1,False,8521.747247548818,8559.828112659156,38.08086511033798,0.49493702641574144,True,10
51,1,1,False,8337.076383711872,8369.609358662186,32.53297495031438,0.48972599697973335,True,16
52,1,1,False,8533.050927032016,8575.830482959476,42.779555927460024,0.48966845958636207,True,9
53,1,1,False,8478.075764991063,8519.179236299495,41.103471308431835,0.48208356116946743,True,34
54,1,1,False,8508.579113689682,8548.28475657818,39.705642888497096,0.4613018776654186,True,12
55,1,1,False,8528.507314409499,8574.623371708403,46.11605729890471,0.48190328508448815,True,20
56,1,1,False,8479.018983081409,8514.826156091329,35.80717300992001,0.4806639998091399,True,13
57,1,1,False,8594.124072451155,8636.930028088102,42.80595563694624,0.4994022507085965,True,22
58,1,1,False,8558.589315751648,8602.5725947056,43.98327895395232,0.49238502511862814,True,28
59,1,1,False,8433.044425110584,8468.687214102694,35.64278899211058,0.4890002551552155,True,9
60,1,1,False,8388.87657088204,8424.233896084394,35.35732520235433,0.48382102324175075,True,12
61,1,1,False,8447.309001655387,8487.100417493106,39.79141583771889,0.48377659609454643,True,20
62,1,1,False,8550.622343488736,8593.703914328215,43.081570839478445,0.4888481316814391,True,51
63,1,1,False,8635.394403534883,8671.865233498118,36.47082996323479,0.4979663969703438,True,13
64,1,1,False,8425.220041103916,8469.680242832883,44.46020172896715,0.49552146719231815,True,10
65,1,1,False,8676.57195693109,8710.57364030681,34.00168337571995,0.4966862440004348,True,54
66,1,1,False,8682.44126919224,8726.742765660301,44.30149646806058,0.49819025048161986,True,17
67,1,1,False,8403.209420841862,8434.342055145977,31.132634304114617,0.49188869713920363,True,19
68,1,1,False,8493.545688702407,8533.605467546886,40.0597788444793,0.4794830010033632,True,61
69,1,1,False,8530.47411596069,8566.887638827942,36.41352286725305,0.49603673768400086,True,15
70,1,1,False,8509.244309176238,8552.455496946388,43.21118777014999,0.49350154063935114,True,10
71,1,1,False,8600.379134142644,8642.990758824959,42.61162468231487,0.49779175841175843,True,10
72,1,1,False,8383.257285304562,8427.76749041084,44.51020510627859,0.49700700478118154,True,17
73,1,1,False,8478.427446340123,8519.365296097114,40.937849756990545,0.48689525276006157,True,17
74,1,1,False,8493.66433382819,8538.837293938011,45.17296010982136,0.4924739090772228,True,33
75,1,1,False,8498.201057552218,8533.770113961375,35.569056409156474,0.49416942621991683,True,11
76,1,1,False,8506.903217606538,8543.75012917955,36.84691157301313,0.49818137203091395,True,22
77,1,1,False,8578.578107693376,8625.021279729788,46.44317203641185,0.4899438126770993,True,12
78,1,1,False,8483.545129182628,8525.416765599863,41.871636417234186,0.4860356416528005,True,10
79,1,1,False,8785.406963585308,8830.761937446,45.354973860690734,0.49438144879058377,True,16
80,1,1,False,8436.004133623235,8477.036747800685,41.03261417744943,0.4850596238995666,True,9
81,1,1,False,8396.841284442613,8442.457268940552,45.61598449793928,0.47950170087594096,True,11
82,1,1,False,8647.192947368041,8689.620507113495,42.427559745454346,0.4932139069614904,True,15
