repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
58,Target-calibrated associative latent model,True,31,3,-7822.340911484496,0.4511000946191113,1.76463804074448
58,Modular causal latent SCM,True,37,2,-7823.735410642495,0.4476036000738432,1.7659422808751848
59,Pooled associative latent class model,True,21,2,-8004.820617867538,0.494642772592094,1.7987942775912238
59,Target-calibrated associative latent model,True,22,2,-7794.802408876328,0.48455451918453313,1.860370950378547
59,Modular causal latent SCM,True,23,2,-7793.259003637318,0.48326943145530826,1.8680623499964706
60,Pooled associative latent class model,True,18,1,-8058.399279866445,0.48427816218299335,1.7063072343147425
60,Target-calibrated associative latent model,True,24,3,-7825.964971725818,0.480290646358887,1.8129751002091428
60,Modular causal latent SCM,True,14,1,-7833.994948749357,0.48226943484475643,1.791571354427444
61,Pooled associative latent class model,True,24,1,-8052.685776222318,0.47913745561335586,1.8912224884038795
61,Target-calibrated associative latent model,True,19,3,-7775.768443731453,0.4975040407559924,2.0139982674492356
61,Modular causal latent SCM,True,16,3,-7781.113790829874,0.4996819269032995,2.012950408897873
62,Pooled associative latent class model,True,23,2,-8010.515670009776,0.48171388518656083,2.0171435009218723
62,Target-calibrated associative latent model,True,19,1,-7772.144170901936,0.4844294513933352,1.9865531115616355
62,Modular causal latent SCM,True,19,1,-7778.348328951042,0.4834457080007207,1.9853903854510613
63,Pooled associative latent class model,True,29,3,-8018.448841375026,0.46619990901325564,1.8968144682886507
63,Target-calibrated associative latent model,True,20,0,-7738.1192173556265,0.476362619741736,1.8932081117402888
63,Modular causal latent SCM,True,19,0,-7744.863021346247,0.47672351928633944,1.9049217811853463
64,Pooled associative latent class model,True,23,1,-8054.067679068468,0.47618229208635665,1.9944017882080258
64,Target-calibrated associative latent model,True,20,3,-7779.526114823158,0.4826561683593655,2.0652675652706414
64,Modular causal latent SCM,True,20,3,-7781.624822947604,0.485645680175179,2.0693442581270554
65,Pooled associative latent class model,True,23,2,-8037.071229781457,0.4984748622742521,1.9569147334531307
65,Target-calibrated associative latent model,True,26,3,-7776.482292470955,0.4885820820810963,2.0046695415879565
65,Modular causal latent SCM,True,20,0,-7778.499861982231,0.4880314663123843,1.9896793684413203
66,Pooled associative latent class model,True,21,3,-8022.620654458871,0.48128371503802225,2.1222821631445794
66,Target-calibrated associative latent model,True,40,2,-7761.974556881305,0.4698124547067184,2.2549577598895794
66,Modular causal latent SCM,True,22,2,-7766.4850843221475,0.4685166295881782,2.2777947127289235
67,Pooled associative latent class model,True,25,2,-8031.480803701443,0.48067645231313627,1.845210881912164
67,Target-calibrated associative latent model,True,25,2,-7798.496969427231,0.49401180405705397,1.9558849009158745
67,Modular causal latent SCM,True,26,3,-7799.476148680831,0.48665693158807044,1.932267664848269
68,Pooled associative latent class model,True,28,1,-7990.25130188989,0.48425833761003284,2.018592756309366
68,Target-calibrated associative latent model,True,20,2,-7725.125031169623,0.48828907916102543,2.1862846396196964
68,Modular causal latent SCM,True,17,3,-7729.406708224526,0.4960040285350369,2.191852260256898
69,Pooled associative latent class model,True,23,3,-8048.302149561487,0.4984181925172391,1.8071690937823615
69,Target-calibrated associative latent model,True,21,3,-7806.975307467481,0.4893929400334178,1.9441970628075433
69,Modular causal latent SCM,True,23,3,-7812.60546588571,0.48723699745443955,1.9473418329956225
70,Pooled associative latent class model,True,21,2,-8023.931274563684,0.4893440061690654,2.2071633986930115
70,Target-calibrated associative latent model,True,19,1,-7782.6214809441535,0.48524338994052635,2.222066137061383
70,Modular causal latent SCM,True,19,3,-7787.8838597979,0.4848347820897264,2.2309747978961383
71,Pooled associative latent class model,True,25,2,-7850.614941497652,0.47965866041527133,2.0110505278905437
71,Target-calibrated associative latent model,True,20,1,-7639.142622901292,0.48987300212622154,2.0909357059388975
71,Modular causal latent SCM,True,20,2,-7643.196497236533,0.49656678256428993,2.1090642768366967
72,Pooled associative latent class model,True,26,2,-7959.682640600061,0.4793477333513468,1.925310431624891
72,Target-calibrated associative latent model,True,22,0,-7728.362771098808,0.47397313745860087,1.972941819537812
72,Modular causal latent SCM,True,22,3,-7731.429212805711,0.47313043978343344,1.9688800978465326
73,Pooled associative latent class model,True,22,3,-7986.097980448927,0.47766098823185393,1.7990310342999776
73,Target-calibrated associative latent model,True,23,3,-7752.0415357735765,0.47648228608883414,1.8491571210466742
73,Modular causal latent SCM,True,25,2,-7755.395935203563,0.47849071479382727,1.8528632468267459
74,Pooled associative latent class model,True,25,1,-8023.749080713216,0.45276853494211095,1.9017058282335477
74,Target-calibrated associative latent model,True,19,1,-7799.049890742754,0.470172960411752,1.9598653980244787
74,Modular causal latent SCM,True,20,1,-7799.686861288089,0.4697375800107296,1.9650567743749245
75,Pooled associative latent class model,True,24,3,-8037.280422185007,0.48782012576015776,1.8476207957809352
75,Target-calibrated associative latent model,True,16,0,-7814.592103390663,0.4804618756052544,2.024698666546448
75,Modular causal latent SCM,True,15,0,-7818.0486330537715,0.4822566032634396,2.0202294167189367
76,Pooled associative latent class model,True,20,1,-7968.058993857705,0.49534655992020016,2.104487182504524
76,Target-calibrated associative latent model,True,17,1,-7767.330947308126,0.48840090784065976,2.133587865847997
76,Modular causal latent SCM,True,18,1,-7772.119019164709,0.486316489520377,2.134209142090654
77,Pooled associative latent class model,True,27,1,-8048.872520569661,0.47644373003593365,2.079132293203196
77,Target-calibrated associative latent model,True,20,1,-7785.372812441316,0.48217877581476865,2.1722480455284696
77,Modular causal latent SCM,True,20,1,-7789.6320283224395,0.48207782591024273,2.1640145573129708
78,Pooled associative latent class model,True,18,0,-8045.474183848488,0.49493343771272486,1.9336475825698107
78,Target-calibrated associative latent model,True,29,3,-7816.628656962701,0.4819423886846038,1.922198147897282
78,Modular causal latent SCM,True,28,3,-7816.652186535725,0.47676620527948516,1.932837065430963
79,Pooled associative latent class model,True,17,2,-8008.850726358747,0.491532598419561,2.042643207056405
