repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
19,Modular causal latent SCM,True,20,0,-7761.3851923936945,0.49028589353342406,2.1116594326268197
20,Pooled associative latent class model,True,23,1,-7975.763000486597,0.4823156071691276,2.122305444130824
20,Target-calibrated associative latent model,True,15,0,-7752.464858016532,0.49149325411372213,2.169240909367386
20,Modular causal latent SCM,True,15,0,-7757.515547005698,0.49149546072575523,2.160941163417946
21,Pooled associative latent class model,True,22,3,-8044.215134998758,0.4961928344182098,1.6776033816239817
21,Target-calibrated associative latent model,True,23,3,-7817.579018683686,0.48807355845675443,1.8403906399081578
21,Modular causal latent SCM,True,21,3,-7820.324419140283,0.48928885883550277,1.8326932329266525
22,Pooled associative latent class model,True,32,1,-7954.643654355353,0.4608849690079637,1.9106545109428748
22,Target-calibrated associative latent model,True,24,3,-7732.214399108629,0.4759177907443333,2.0644226531105527
22,Modular causal latent SCM,True,30,1,-7737.637064743763,0.47256259403884754,2.051212658346837
23,Pooled associative latent class model,True,20,0,-7910.40387708182,0.4721211128873193,2.108436691293135
23,Target-calibrated associative latent model,True,18,0,-7674.875273200598,0.48160708044041645,2.163971703325673
23,Modular causal latent SCM,True,19,3,-7678.4032327013465,0.47760658083912,2.169552990520955
24,Pooled associative latent class model,True,27,2,-7949.554705429242,0.45966787000700365,2.098444645400833
24,Target-calibrated associative latent model,True,32,1,-7756.717423672666,0.464397643515155,2.108057433163176
24,Modular causal latent SCM,True,32,1,-7761.908130017933,0.4644232975448384,2.1002108203867205
25,Pooled associative latent class model,True,24,1,-7993.761544873729,0.4685811275908129,1.7817793275588172
25,Target-calibrated associative latent model,True,19,1,-7741.634424499647,0.47986843707527416,1.823057551088732
25,Modular causal latent SCM,True,20,1,-7747.569309881653,0.47902323196561686,1.8292359622325405
26,Pooled associative latent class model,True,23,1,-7977.349132444879,0.48287776538276717,2.0274015436479482
26,Target-calibrated associative latent model,True,21,3,-7778.630939014343,0.4985666661501167,2.0928265791907337
26,Modular causal latent SCM,True,16,0,-7779.695475871411,0.4977055033745941,2.123465313622164
27,Pooled associative latent class model,True,21,1,-8092.651323719525,0.48938136084461376,2.0842457533898706
27,Target-calibrated associative latent model,True,20,1,-7838.842062633563,0.4734157578336717,2.107071642905078
27,Modular causal latent SCM,True,20,1,-7840.428021596502,0.4735961490982975,2.1122967632303316
28,Pooled associative latent class model,True,21,0,-7931.707709920973,0.4996004761995025,1.8289934293257875
28,Target-calibrated associative latent model,True,23,0,-7704.025516799989,0.4788819518014783,1.895926749034035
28,Modular causal latent SCM,True,27,2,-7711.145865908718,0.4813204232651716,1.8946128099171196
29,Pooled associative latent class model,True,14,0,-7961.872758298359,0.4941481634381895,2.126795539399695
29,Target-calibrated associative latent model,True,15,0,-7735.30690730821,0.4919397624231375,2.1862906847311265
29,Modular causal latent SCM,True,15,0,-7737.209971160547,0.49148863900828316,2.1940771965679957
30,Pooled associative latent class model,True,33,2,-8035.829696676052,0.4401539110331941,2.006042590454006
30,Target-calibrated associative latent model,True,26,2,-7791.993727499456,0.45293549687004503,2.097827445082606
30,Modular causal latent SCM,True,26,0,-7798.811467348925,0.4489216790273723,2.0940329617429305
31,Pooled associative latent class model,True,23,3,-8080.558886530451,0.4746486722040786,1.91098772571172
31,Target-calibrated associative latent model,True,20,0,-7855.047951698099,0.4969100232835912,1.9103098351057728
31,Modular causal latent SCM,True,13,3,-7860.490936505084,0.49988730792001834,1.8897111951170622
32,Pooled associative latent class model,True,19,0,-8108.825066147054,0.4862711662783297,1.9495374065541808
32,Target-calibrated associative latent model,True,19,1,-7842.02106605392,0.49449008021543556,2.004104787392608
32,Modular causal latent SCM,True,19,3,-7850.415809523267,0.4933580105302435,1.9895364880265574
33,Pooled associative latent class model,True,19,1,-8071.543187643012,0.4959025902120124,1.7460813818716323
33,Target-calibrated associative latent model,True,19,1,-7843.74391364656,0.4758941012694116,1.7681524783749336
33,Modular causal latent SCM,True,19,1,-7847.471232061047,0.47445134075985684,1.773011988470984
34,Pooled associative latent class model,True,23,3,-7981.879318344358,0.47614622601958995,1.891630753345878
34,Target-calibrated associative latent model,True,24,1,-7768.313291577935,0.46571048691687705,1.9348777173579208
34,Modular causal latent SCM,True,22,0,-7777.312332827367,0.4655941413669077,1.9480822212860063
35,Pooled associative latent class model,True,23,1,-8006.188543437425,0.4680375570874138,1.9691396536695704
35,Target-calibrated associative latent model,True,23,0,-7798.57574352445,0.45990074565250855,2.0076344574283036
35,Modular causal latent SCM,True,25,1,-7797.713782700599,0.462217565941812,1.99275441599942
36,Pooled associative latent class model,True,32,3,-8076.591179810101,0.4416257170487986,2.133911002631419
36,Target-calibrated associative latent model,True,21,2,-7823.283954441102,0.47676973893086355,2.1489746723396617
36,Modular causal latent SCM,True,22,2,-7828.035856764036,0.472632608292648,2.1569694022606454
37,Pooled associative latent class model,True,23,0,-7969.599138487127,0.4675012018033419,1.9422631432091124
37,Target-calibrated associative latent model,True,22,2,-7737.570866101365,0.4650008871752061,1.9588169361706245
37,Modular causal latent SCM,True,21,2,-7744.411781585724,0.4647023675105258,1.9662802882944062
38,Pooled associative latent class model,True,23,2,-8011.630811294409,0.4799714141366302,1.9994479549563433
38,Target-calibrated associative latent model,True,21,3,-7751.7975110367315,0.4996474172181253,2.1119912335721356
38,Modular causal latent SCM,True,21,2,-7757.428858797175,0.4944670970628275,2.090635383461557
39,Pooled associative latent class model,True,14,0,-7947.651288865929,0.4931093716991782,2.0588662031182605
39,Target-calibrated associative latent model,True,29,3,-7740.378067428821,0.4920906778480885,2.1254916671702744
39,Modular causal latent SCM,True,25,2,-7743.495121508184,0.48984501013657533,2.1249879210695575
40,Pooled associative latent class model,True,20,2,-7954.72571522735,0.4937672028155378,2.0918436043525768
40,Target-calibrated associative latent model,True,16,2,-7753.825535253911,0.49382124449861836,2.194392479846554
40,Modular causal latent SCM,True,13,2,-7762.400885620182,0.4961179853508304,2.17137192217782
41,Pooled associative latent class model,True,25,1,-7956.363231132984,0.4762800912471603,1.8868137724952778
41,Target-calibrated associative latent model,True,22,1,-7751.812724740848,0.4887504961346255,1.9515484003362737
41,Modular causal latent SCM,True,21,1,-7755.57425814389,0.4896265876941497,1.9545494992807457
42,Pooled associative latent class model,True,23,1,-7934.631807226066,0.4896747380354336,2.2128892947428174
42,Target-calibrated associative latent model,True,21,2,-7712.320019696146,0.49861383706099976,2.296117273036931
42,Modular causal latent SCM,True,21,2,-7714.5009918239975,0.4986620597586927,2.2969139912282444
43,Pooled associative latent class model,True,23,1,-8058.777149763774,0.4679099764329319,1.9389032961165944
43,Target-calibrated associative latent model,True,23,1,-7813.162313666798,0.4710516086898388,1.9909731854184631
43,Modular causal latent SCM,True,23,1,-7817.497691409507,0.46966696886599923,1.9707243630537137
44,Pooled associative latent class model,True,23,1,-7968.817283103099,0.4660753389727976,2.1072959303083842
44,Target-calibrated associative latent model,True,26,1,-7737.946520078904,0.4594512105145187,2.0657081061149825
44,Modular causal latent SCM,True,26,1,-7735.309454068183,0.45656155500788714,2.071367870422926
