repeat,shift_index,shift,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy_complete_case,accuracy_any_missing,accuracy_electrical_missing,biomarker_missing_fraction,all_biomarkers_missing_rate
29,0,Exact no shift,Target-calibrated associative latent model,0.823,0.41673372462571706,0.14492753623188406,0.1267294990986439,0.032009607572757955,0.3934185985508914,0.501,138,0.8234597156398105,0.8205128205128205,0.8297872340425532,0.05566666666666667,0.001
29,0,Exact no shift,Frozen causal latent SCM,0.835,0.4483446749245459,0.2028985507246377,0.12196988203856643,0.02977935613855157,0.3950593422119082,0.535,138,0.8388625592417062,0.8141025641025641,0.8297872340425532,0.05566666666666667,0.001
29,0,Exact no shift,Modular causal latent SCM,0.831,0.43767984210552896,0.18840579710144928,0.12201935204344995,0.03263600824598763,0.3948102646246131,0.527,138,0.8329383886255924,0.8205128205128205,0.8297872340425532,0.05566666666666667,0.001
29,0,Exact no shift,Target oracle (reference),0.829,0.4323967103955865,0.2028985507246377,0.11992370536791805,0.02420424575739753,0.39801972411008646,0.513,138,0.8341232227488151,0.8012820512820513,0.8297872340425532,0.05566666666666667,0.001
30,0,Exact no shift,Pooled associative latent class model,0.819,0.4064501262083962,0.34459459459459457,0.13441215591706634,0.0553230626024719,0.421364702366587,0.577,148,0.8329355608591885,0.7469135802469136,0.7966101694915254,0.057,0.0
30,0,Exact no shift,Target-calibrated associative latent model,0.821,0.4115753356400579,0.17567567567567569,0.12706910891581139,0.05263761236297694,0.397501473768594,0.567,148,0.8233890214797136,0.808641975308642,0.8983050847457628,0.057,0.0
30,0,Exact no shift,Frozen causal latent SCM,0.816,0.3988226149867324,0.17567567567567569,0.12555756544441843,0.05129330191618023,0.39942754589064017,0.562,148,0.8221957040572793,0.7839506172839507,0.8813559322033898,0.057,0.0
30,0,Exact no shift,Modular causal latent SCM,0.814,0.39377759618822994,0.16891891891891891,0.12552353094783075,0.04938524131362018,0.3996580051240956,0.558,148,0.8186157517899761,0.7901234567901234,0.8983050847457628,0.057,0.0
30,0,Exact no shift,Target oracle (reference),0.833,0.4429990119115861,0.12837837837837837,0.12173691790298884,0.02589034263274989,0.4027700815301586,0.503,148,0.8412887828162291,0.7901234567901234,0.847457627118644,0.057,0.0
31,0,Exact no shift,Pooled associative latent class model,0.78,0.31291514352684513,0.2913907284768212,0.14611432518513243,0.04443936455242334,0.4328386558183609,0.46,151,0.7830750893921334,0.7639751552795031,0.8163265306122449,0.05533333333333333,0.0
31,0,Exact no shift,Target-calibrated associative latent model,0.81,0.38378341924079307,0.152317880794702,0.13064732561928158,0.029243574184329935,0.4166763690780156,0.502,151,0.8188319427890346,0.7639751552795031,0.7755102040816326,0.05533333333333333,0.0
31,0,Exact no shift,Frozen causal latent SCM,0.807,0.3763726588157459,0.16556291390728478,0.13088414166694376,0.028783057192193345,0.4176702679921748,0.479,151,0.8140643623361145,0.7701863354037267,0.7755102040816326,0.05533333333333333,0.0
31,0,Exact no shift,Modular causal latent SCM,0.813,0.3912670784260611,0.152317880794702,0.12992123693076899,0.018771021937627103,0.4185202167724976,0.489,151,0.8212157330154947,0.7701863354037267,0.7755102040816326,0.05533333333333333,0.0
31,0,Exact no shift,Target oracle (reference),0.81,0.3837835615015237,0.17880794701986755,0.1307443472696469,0.019887127037041732,0.40398975894485656,0.49,151,0.8200238379022646,0.7577639751552795,0.7755102040816326,0.05533333333333333,0.0
32,0,Exact no shift,Pooled associative latent class model,0.806,0.3739175475384494,0.3724137931034483,0.13637549273203314,0.026122674864298808,0.4127415899902302,0.51,145,0.806146572104019,0.8051948051948052,0.8085106382978723,0.05433333333333333,0.0
32,0,Exact no shift,Target-calibrated associative latent model,0.812,0.3887645092367377,0.1724137931034483,0.12757100203347507,0.023421064525483242,0.3879134717732529,0.488,145,0.8096926713947991,0.8246753246753247,0.851063829787234,0.05433333333333333,0.0
32,0,Exact no shift,Frozen causal latent SCM,0.816,0.3988222300790023,0.19310344827586207,0.12719269227853283,0.019318429165025852,0.38891434933100805,0.5,145,0.8156028368794326,0.8181818181818182,0.851063829787234,0.05433333333333333,0.0
32,0,Exact no shift,Modular causal latent SCM,0.814,0.39377855720040084,0.15862068965517243,0.12891449770805302,0.02955297991384645,0.3876266102265784,0.476,145,0.8108747044917257,0.8311688311688312,0.851063829787234,0.05433333333333333,0.0
32,0,Exact no shift,Target oracle (reference),0.815,0.3962961034403157,0.2,0.1272246201941671,0.026813885393177375,0.3925613042370014,0.487,145,0.8132387706855791,0.8246753246753247,0.851063829787234,0.05433333333333333,0.0
33,0,Exact no shift,Pooled associative latent class model,0.815,0.39629641017476236,0.3312883435582822,0.12842002108806147,0.03076431365641984,0.4219284115456585,0.488,163,0.8217703349282297,0.7804878048780488,0.8620689655172413,0.057,0.0
33,0,Exact no shift,Target-calibrated associative latent model,0.788,0.33109797593606655,0.4662576687116564,0.14264807975369745,0.09588030042676099,0.385990919308239,0.589,163,0.7918660287081339,0.7682926829268293,0.8620689655172413,0.057,0.0
33,0,Exact no shift,Frozen causal latent SCM,0.824,0.4193234070244538,0.20245398773006135,0.12116122633611608,0.03681455496447985,0.3970982423958996,0.513,163,0.8349282296650717,0.7682926829268293,0.8275862068965517,0.057,0.0
33,0,Exact no shift,Modular causal latent SCM,0.809,0.38130304383753005,0.34355828220858897,0.1282074894454094,0.06271699373939774,0.39355572070430295,0.548,163,0.8157894736842105,0.774390243902439,0.8448275862068966,0.057,0.0
33,0,Exact no shift,Target oracle (reference),0.834,0.44566974957312916,0.17177914110429449,0.11900253025312843,0.029773031715275962,0.39030167165156837,0.487,163,0.8444976076555024,0.7804878048780488,0.8103448275862069,0.057,0.0
34,0,Exact no shift,Pooled associative latent class model,0.837,0.4537247574257906,0.3046875,0.12461400569849974,0.030705812411824317,0.4153997815885295,0.542,128,0.844626168224299,0.7916666666666666,0.851063829787234,0.050333333333333334,0.0
34,0,Exact no shift,Target-calibrated associative latent model,0.837,0.45371536431929543,0.2265625,0.12331352683462926,0.0429961913594868,0.39260384638839735,0.568,128,0.8492990654205608,0.7638888888888888,0.723404255319149,0.050333333333333334,0.0
