repeat,method,renal_effect_sd,bic_k1,bic_k2,delta_bic_k2_minus_k1,selected_k2,k2_converged,k2_minimum_effective_class_fraction
376,Renal-adjusted associative latent class model,1.5,6806.023595555665,6828.412079983788,22.388484428122865,False,True,0.4823595265184944
376,Biologically constrained latent SCM,1.5,6799.427264838432,6821.552324288927,22.12505945049452,False,True,0.4602790702223446
377,Associative latent class model,1.5,8167.75792059717,7877.235761196794,-290.52215940037604,True,True,0.3342515416800723
377,Renal-adjusted associative latent class model,1.5,6849.372016566065,6880.605989595446,31.23397302938065,False,True,0.4951357962301165
377,Biologically constrained latent SCM,1.5,6837.319077298278,6867.262504698899,29.94342740062075,False,True,0.3655570134486249
378,Associative latent class model,1.5,8166.785689198518,7938.069559871536,-228.7161293269828,True,True,0.2879388895556822
378,Renal-adjusted associative latent class model,1.5,6973.320514680581,6998.7748934139945,25.45437873341325,False,True,0.43971649119666945
378,Biologically constrained latent SCM,1.5,6961.520316535344,6990.003572771033,28.483256235688714,False,True,0.47823238117011413
379,Associative latent class model,1.5,8162.705409878232,7832.872198458965,-329.8332114192672,True,True,0.3076324645531702
379,Renal-adjusted associative latent class model,1.5,6831.428443664583,6851.284547809558,19.85610414497478,False,True,0.293343160178705
379,Biologically constrained latent SCM,1.5,6822.729743207597,6841.701382407955,18.971639200358368,False,True,0.4524733846003734
380,Associative latent class model,1.5,8190.197019116886,7893.860077351753,-296.3369417651329,True,True,0.2861828311794703
380,Renal-adjusted associative latent class model,1.5,6921.235284134413,6950.862132179618,29.626848045205406,False,True,0.4501440164015309
380,Biologically constrained latent SCM,1.5,6910.027822852956,6939.980787896307,29.95296504335147,False,True,0.38489735225132876
381,Associative latent class model,1.5,8073.309724402769,7814.319778949965,-258.9899454528031,True,True,0.33428030978006484
381,Renal-adjusted associative latent class model,1.5,6818.975535198886,6847.801498887096,28.825963688210322,False,True,0.46244580465619234
381,Biologically constrained latent SCM,1.5,6812.522322036276,6836.603823393317,24.081501357040906,False,True,0.3662429673552748
382,Associative latent class model,1.5,8230.554756083327,7922.494482779073,-308.0602733042542,True,True,0.3304605185043623
382,Renal-adjusted associative latent class model,1.5,6880.923071845289,6906.431389740732,25.508317895442815,False,True,0.3378653921322376
382,Biologically constrained latent SCM,1.5,6870.483495350919,6897.98895745786,27.505462106941195,False,True,0.47695041320672926
383,Associative latent class model,1.5,8138.893418168737,7883.091684182702,-255.8017339860353,True,True,0.289892523102378
383,Renal-adjusted associative latent class model,1.5,6893.350365129112,6925.099366897272,31.74900176816027,False,True,0.45364929399431764
383,Biologically constrained latent SCM,1.5,6879.997276396901,6911.92953522773,31.932258830829596,False,True,0.45566913125732994
384,Associative latent class model,1.5,8100.86799955828,7832.609035837995,-268.25896372028456,True,True,0.2694195869958815
384,Renal-adjusted associative latent class model,1.5,6873.378450571028,6898.712830759576,25.334380188547584,False,True,0.43679095299655174
384,Biologically constrained latent SCM,1.5,6868.583248829614,6887.738466968827,19.155218139213503,False,True,0.3970913381383007
385,Associative latent class model,1.5,8190.95465239189,7934.998778432604,-255.95587395928578,True,True,0.2747610551388835
385,Renal-adjusted associative latent class model,1.5,6978.828452840345,7000.9477774099505,22.11932456960585,False,True,0.46764677028262275
385,Biologically constrained latent SCM,1.5,6966.389320485144,6992.7636636399375,26.374343154793678,False,True,0.496717393857516
386,Associative latent class model,1.5,8210.69366267875,7942.564092949844,-268.12956972890606,True,True,0.2869377723927738
386,Renal-adjusted associative latent class model,1.5,6962.395467402945,6994.6492715637005,32.25380416075586,False,True,0.4816723822785345
386,Biologically constrained latent SCM,1.5,6959.960129408249,6981.294932953624,21.334803545375507,False,True,0.45697160268227754
387,Associative latent class model,1.5,8141.405165469537,7857.899409163662,-283.50575630587446,True,True,0.3130623767552853
387,Renal-adjusted associative latent class model,1.5,6836.734270472842,6864.845549045235,28.11127857239353,False,True,0.42103694848338846
387,Biologically constrained latent SCM,1.5,6825.999419575627,6854.716661972123,28.71724239649575,False,True,0.45717582562502473
388,Associative latent class model,1.5,8071.105266542104,7766.504295677875,-304.60097086422866,True,True,0.28983344681513734
388,Renal-adjusted associative latent class model,1.5,6805.205681376077,6833.371896576284,28.166215200206352,False,True,0.4696821452923882
388,Biologically constrained latent SCM,1.5,6796.224265820153,6822.543451879144,26.319186058991363,False,True,0.4640088512979905
389,Associative latent class model,1.5,8186.351775250419,7891.331612633216,-295.0201626172038,True,True,0.3071633587948762
389,Renal-adjusted associative latent class model,1.5,6888.968039114461,6918.456087937549,29.48804882308741,False,True,0.4104021408948324
389,Biologically constrained latent SCM,1.5,6880.431636660435,6907.317389145409,26.885752484973636,False,True,0.3661142828112191
390,Associative latent class model,1.5,8081.300856090836,7798.12760039797,-283.1732556928655,True,True,0.3078363901491754
390,Renal-adjusted associative latent class model,1.5,6788.112693605979,6808.005479281284,19.892785675305277,False,True,0.29919446561332635
390,Biologically constrained latent SCM,1.5,6781.87528381135,6798.370341192314,16.49505738096468,False,True,0.3252297152283869
391,Associative latent class model,1.5,8070.728917260022,7810.6984840497325,-260.03043321028963,True,True,0.27261224565657083
391,Renal-adjusted associative latent class model,1.5,6815.970346859514,6846.967957607149,30.997610747635008,False,True,0.48229118758717904
391,Biologically constrained latent SCM,1.5,6803.419228958326,6832.712879726549,29.293650768222506,False,True,0.34736079883091747
392,Associative latent class model,1.5,8120.077247531219,7818.937697775008,-301.1395497562107,True,True,0.3538671717430002
392,Renal-adjusted associative latent class model,1.5,6774.485140719513,6801.928124554667,27.442983835154337,False,True,0.45763081549830587
392,Biologically constrained latent SCM,1.5,6761.1194009641995,6788.863621072425,27.744220108225818,False,True,0.4598500776669083
393,Associative latent class model,1.5,8140.366980398618,7910.711653570905,-229.655326827713,True,True,0.3647408968576654
393,Renal-adjusted associative latent class model,1.5,6865.050826012517,6893.46123953813,28.410413525612967,False,True,0.2625323310085341
393,Biologically constrained latent SCM,1.5,6853.962042593069,6881.082717361905,27.12067476883658,False,True,0.298956452473421
394,Associative latent class model,1.5,8117.069095822239,7810.846780310054,-306.22231551218556,True,True,0.3396232702527936
394,Renal-adjusted associative latent class model,1.5,6777.014097469593,6809.099346618916,32.08524914932241,False,True,0.46657643381063596
394,Biologically constrained latent SCM,1.5,6769.151101751829,6796.259375654281,27.10827390245231,False,True,0.37005839490916514
395,Associative latent class model,1.5,8256.88497416734,7946.263194543187,-310.62177962415353,True,True,0.32005674191857636
395,Renal-adjusted associative latent class model,1.5,6924.356124917519,6953.921342291471,29.565217373951782,False,True,0.40598503366518907
395,Biologically constrained latent SCM,1.5,6915.884800077939,6941.556626654031,25.671826576091917,False,True,0.35568314926788197
396,Associative latent class model,1.5,8220.908140068379,7943.575637744869,-277.3325023235102,True,True,0.349401799485869
396,Renal-adjusted associative latent class model,1.5,6891.009509083752,6915.662255041755,24.652745958002924,False,True,0.4188613702599848
396,Biologically constrained latent SCM,1.5,6884.163377113629,6900.409583527207,16.246206413577966,False,True,0.4971512911962912
397,Associative latent class model,1.5,8128.594760875776,7881.462418072299,-247.1323428034766,True,True,0.2916918449773212
397,Renal-adjusted associative latent class model,1.5,6896.589392888064,6921.562295578938,24.972902690873525,False,True,0.40677527756330306
397,Biologically constrained latent SCM,1.5,6883.511747402482,6913.5615800036,30.049832601118396,False,True,0.4684013113731402
398,Associative latent class model,1.5,8118.011166362276,7879.645417246322,-238.3657491159538,True,True,0.31630204918617133
398,Renal-adjusted associative latent class model,1.5,6916.457434792371,6938.549378659208,22.091943866837028,False,True,0.2969788517113328
398,Biologically constrained latent SCM,1.5,6905.244134481591,6927.0309557639885,21.786821282397796,False,True,0.31356575608018683
399,Associative latent class model,1.5,8002.587241687244,7724.529217821297,-278.0580238659477,True,True,0.30857698394867195
399,Renal-adjusted associative latent class model,1.5,6723.605734413057,6752.456356289674,28.85062187661697,False,True,0.45835708489056143
399,Biologically constrained latent SCM,1.5,6713.395374924958,6741.318566241958,27.9231913170006,False,True,0.4805970176639755
400,Associative latent class model,1.5,8239.690222582336,7942.699014524209,-296.9912080581271,True,True,0.3028720750234121
400,Renal-adjusted associative latent class model,1.5,6950.653696532307,6980.9355877588205,30.281891226513835,False,True,0.4000670511011551
400,Biologically constrained latent SCM,1.5,6937.589655982173,6967.79677398267,30.20711800049685,False,True,0.4012882343633569
401,Associative latent class model,1.5,8036.864414854168,7802.993584738981,-233.87083011518735,True,True,0.30795297931908266
401,Renal-adjusted associative latent class model,1.5,6793.915554576646,6824.191092771847,30.27553819520108,False,True,0.4887619669153498
401,Biologically constrained latent SCM,1.5,6781.99168997094,6809.142653986843,27.1509640159029,False,True,0.4435584226961843
402,Associative latent class model,1.5,8081.21769713438,7822.877789234668,-258.33990789971176,True,True,0.3049284917969629
402,Renal-adjusted associative latent class model,1.5,6842.92589806998,6869.697245418992,26.771347349012103,False,True,0.49671523537821294
