repeat,renal_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
284,0.5,Renal-adjusted associative latent class model,0.803,0.36660241013116546,0.29069767441860467,0.13722493616067635,0.03406303087192997,0.3651309211022552,0.504,172
284,0.5,Biologically constrained latent SCM,0.812,0.38876479572091827,0.20930232558139536,0.12915400956513048,0.023567525317982313,0.37076003141030084,0.517,172
284,0.5,Data-generating oracle (reference),0.814,0.39377771401151834,0.19186046511627908,0.12813905491074462,0.0211973525374269,0.39074392757853377,0.513,172
285,0.5,Associative latent class model,0.792,0.3404099707614584,0.5866666666666667,0.14639341107194803,0.10085653124567523,0.35747610360541787,0.601,150
285,0.5,Renal-adjusted associative latent class model,0.807,0.3763773326945912,0.02666666666666667,0.13421459326480936,0.04838353616248404,0.35818300269245223,0.436,150
285,0.5,Biologically constrained latent SCM,0.842,0.46732310189221393,0.14666666666666667,0.11423267019466209,0.027067472866450292,0.3826670383939842,0.493,150
285,0.5,Data-generating oracle (reference),0.844,0.4728166325584909,0.18666666666666668,0.11440731076416433,0.030088693688157718,0.37978834117747834,0.509,150
286,0.5,Associative latent class model,0.814,0.39377766989703833,0.27586206896551724,0.1331129187711845,0.04454559799331531,0.36908565938789223,0.482,145
286,0.5,Renal-adjusted associative latent class model,0.828,0.42976605922454186,0.18620689655172415,0.12401035066771347,0.03742332609355155,0.372555929568879,0.494,145
286,0.5,Biologically constrained latent SCM,0.838,0.45643273831125836,0.15172413793103448,0.12291046278154064,0.03329161040414419,0.3737564266232796,0.496,145
286,0.5,Data-generating oracle (reference),0.843,0.47006571051131185,0.16551724137931034,0.11957836141110213,0.028262271088860598,0.37899787788136463,0.523,145
287,0.5,Associative latent class model,0.795,0.34746157630508623,0.21794871794871795,0.14911684496739386,0.08809046853909168,0.3706372763176765,0.419,156
287,0.5,Renal-adjusted associative latent class model,0.821,0.41157676868443627,0.1858974358974359,0.1282837186559581,0.0326958304037144,0.3824903970025156,0.471,156
287,0.5,Biologically constrained latent SCM,0.825,0.42192187233931855,0.16666666666666666,0.1273810090998972,0.034300141930536515,0.3834777943319817,0.485,156
287,0.5,Data-generating oracle (reference),0.818,0.4038994622406955,0.1987179487179487,0.1283396244786613,0.01821087077277634,0.38693822150656243,0.506,156
288,0.5,Associative latent class model,0.807,0.3763734329014015,0.375,0.12950476079079506,0.039535011475791186,0.3749749210926914,0.499,144
288,0.5,Renal-adjusted associative latent class model,0.817,0.4013527822671631,0.0625,0.1349413493627547,0.04137479243171737,0.3672340432081709,0.463,144
288,0.5,Biologically constrained latent SCM,0.819,0.40644931945563045,0.1875,0.1263843786608024,0.02565579211112807,0.3739205540663503,0.477,144
288,0.5,Data-generating oracle (reference),0.818,0.40389725363641166,0.1527777777777778,0.12337921086417446,0.027465871009873778,0.3868797822661187,0.47,144
289,0.5,Associative latent class model,0.792,0.3403625583144488,0.6326530612244898,0.15317678771969614,0.0883698314479936,0.35162045449035056,0.618,147
289,0.5,Renal-adjusted associative latent class model,0.818,0.40389071763763074,0.14285714285714285,0.12424683087279416,0.04659307482920892,0.354244964616155,0.566,147
289,0.5,Biologically constrained latent SCM,0.82,0.4089891298015107,0.23129251700680273,0.1256491306159903,0.07199936966298219,0.35214898916927617,0.596,147
