renal_effect_sd,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0.0,Data-generating oracle (reference),brier_score,0.1215184181076285,0.1209526190108735,0.1220842172043835,0.0002879781303981,500
0.0,Data-generating oracle (reference),expected_calibration_error,0.0277912470889101,0.027226039743811,0.0283564544340091,0.0002876769430394,500
0.0,Data-generating oracle (reference),mean_posterior_entropy,0.3818351453875611,0.3812209970885129,0.3824492936866092,0.0003125867113635,500
0.0,Data-generating oracle (reference),predicted_atrial_prevalence,0.500036,0.4986890243970774,0.5013829756029226,0.0006855781814539,500
0.5,Associative latent class model,accuracy,0.806336,0.8049699986853035,0.8077020013146966,0.0006952618110984,500
0.5,Associative latent class model,adjusted_rand_index,0.3757055604449814,0.3723944744820323,0.3790166464079304,0.001685263109585,500
0.5,Associative latent class model,false_atrial_renal_competing,0.3414250620404333,0.3327238245943695,0.3501262994864971,0.0044287205586565,500
0.5,Associative latent class model,brier_score,0.1360221696775422,0.1351660152687922,0.1368783240862923,0.0004357619999361,500
0.5,Associative latent class model,expected_calibration_error,0.0521411410939477,0.0501615717902685,0.0541207103976269,0.0010075531585976,500
0.5,Associative latent class model,mean_posterior_entropy,0.3697908665354113,0.3681216207236588,0.3714601123471638,0.0008496059657932,500
0.5,Associative latent class model,predicted_atrial_prevalence,0.50255,0.4978138737088498,0.5072861262911502,0.0024105743584206,500
0.5,Renal-adjusted associative latent class model,accuracy,0.8163400000000001,0.8150562290894209,0.8176237709105793,0.0006534085133901,500
0.5,Renal-adjusted associative latent class model,adjusted_rand_index,0.4005366131460596,0.3973265583438152,0.403746667948304,0.0016338406790111,500
0.5,Renal-adjusted associative latent class model,false_atrial_renal_competing,0.1845862929654054,0.1765016584791972,0.1926709274516137,0.0041148844839869,500
0.5,Renal-adjusted associative latent class model,brier_score,0.1290105616614828,0.1282364850816691,0.1297846382412964,0.0003939863593247,500
0.5,Renal-adjusted associative latent class model,expected_calibration_error,0.0467106690281138,0.0448659013546369,0.0485554367015907,0.0009389423713713,500
0.5,Renal-adjusted associative latent class model,mean_posterior_entropy,0.3699875546766858,0.3683388660912422,0.3716362432621294,0.0008391428320898,500
0.5,Renal-adjusted associative latent class model,predicted_atrial_prevalence,0.4997459999999999,0.4953088337215896,0.5041831662784103,0.0022584109031828,500
0.5,Biologically constrained latent SCM,accuracy,0.819184,0.8179940129051289,0.8203739870948712,0.0006056748070903,500
0.5,Biologically constrained latent SCM,adjusted_rand_index,0.4076533627840259,0.4046346681066141,0.4106720574614377,0.0015364429784878,500
0.5,Biologically constrained latent SCM,false_atrial_renal_competing,0.1818179890341936,0.175728177492673,0.1879078005757141,0.0030995675890302,500
0.5,Biologically constrained latent SCM,brier_score,0.1270466841005382,0.1263544583785357,0.1277389098225408,0.0003523262415566,500
0.5,Biologically constrained latent SCM,expected_calibration_error,0.0460389161217518,0.0440748123272811,0.0480030199162225,0.000999681586421,500
0.5,Biologically constrained latent SCM,mean_posterior_entropy,0.3728649290488394,0.3712165608071434,0.3745132972905354,0.0008389797848279,500
