repeat,atrial_probability_if_renal_impaired,renal_effect_sd,method,fitted_prior_atrial_given_renal,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
138,0.7,1.5,Associative latent class model,,0.709,0.1737760732590763,0.8571428571428571,0.20674310833131523,0.18741387425150302,0.27021721850121916,0.438,91
138,0.7,1.5,Renal-adjusted associative latent class model,0.6169399120680426,0.841,0.4645743104414408,0.24175824175824176,0.10947341667704308,0.03343501434411764,0.36558513056954833,0.53,91
138,0.7,1.5,Biologically constrained latent SCM,0.6092570416156036,0.844,0.47280143870164204,0.21978021978021978,0.10941002650350805,0.02786409448839285,0.36642354426368395,0.531,91
138,0.7,1.5,Data-generating oracle (reference),,0.845,0.4754872199285338,0.26373626373626374,0.10784560273369123,0.02815658826115032,0.3620891080258787,0.566,91
139,0.7,1.5,Associative latent class model,,0.633,0.06844415029463072,0.8777777777777778,0.2873812301823728,0.2963424560488391,0.23044754164537518,0.395,90
139,0.7,1.5,Renal-adjusted associative latent class model,0.7247656940122266,0.842,0.4670024128344945,0.3,0.1172926024641724,0.051760421407001635,0.3669081236358096,0.568,90
139,0.7,1.5,Biologically constrained latent SCM,0.6826437011262203,0.831,0.43743147881821864,0.23333333333333334,0.11665054030157179,0.055539982148498424,0.3750572467455213,0.559,90
139,0.7,1.5,Data-generating oracle (reference),,0.85,0.48868613851474496,0.25555555555555554,0.11052434851933517,0.025949597430364547,0.37236512764807217,0.608,90
140,0.7,1.5,Associative latent class model,,0.629,0.06418027324736912,0.8390804597701149,0.28671183285996155,0.28629072165171204,0.2145623994586875,0.355,87
140,0.7,1.5,Renal-adjusted associative latent class model,0.7486876963662921,0.826,0.4244836507543203,0.3218390804597701,0.12193530962004565,0.04972019644599866,0.39058223324022645,0.536,87
140,0.7,1.5,Biologically constrained latent SCM,0.78752205508064,0.805,0.3714820139369467,0.41379310344827586,0.1328242695255671,0.06832764050438309,0.3725554470247496,0.505,87
140,0.7,1.5,Data-generating oracle (reference),,0.834,0.44541540566895016,0.3103448275862069,0.11573451895929145,0.02321561456114139,0.37800106674709527,0.58,87
141,0.7,1.5,Associative latent class model,,0.609,0.04601165943830876,0.9696969696969697,0.31191831610231924,0.32705564452073377,0.20857127232035974,0.348,99
141,0.7,1.5,Renal-adjusted associative latent class model,0.6458203085637825,0.842,0.4672654322282944,0.3434343434343434,0.11707246811056322,0.025926870801348915,0.35512429932010825,0.567,99
141,0.7,1.5,Biologically constrained latent SCM,0.5852746776104605,0.836,0.4509753737351399,0.2727272727272727,0.11960954406820164,0.026750245545378696,0.3634990044745687,0.567,99
141,0.7,1.5,Data-generating oracle (reference),,0.839,0.4590862074685796,0.35353535353535354,0.11629645698558141,0.02195608083142097,0.3641919324826656,0.566,99
142,0.7,1.5,Associative latent class model,,0.632,0.06736791227219538,0.7954545454545454,0.28470187468369157,0.2904216254988804,0.2144772256366338,0.338,88
142,0.7,1.5,Renal-adjusted associative latent class model,0.6529126684803863,0.829,0.4322302398143895,0.2159090909090909,0.11778123257957054,0.020470871817840883,0.3655868196288325,0.573,88
142,0.7,1.5,Biologically constrained latent SCM,0.6871957210842502,0.833,0.44279638045601427,0.2727272727272727,0.11609916535980142,0.01178830313235221,0.35855658380879635,0.581,88
142,0.7,1.5,Data-generating oracle (reference),,0.834,0.44550270064139985,0.3181818181818182,0.11627539203329983,0.01229429674922034,0.3717373129024306,0.574,88
143,0.7,1.5,Associative latent class model,,0.573,0.018880413678366133,1.0,0.3535435805804235,0.37622398754450354,0.16187917062140075,0.313,92
143,0.7,1.5,Renal-adjusted associative latent class model,0.6024760943371545,0.832,0.44025619007691086,0.15217391304347827,0.11801258652573145,0.02194841087012582,0.3699934760549262,0.56,92
